start marker,Status,launch date,lat,long,Argos number,WMO id,Manufacturer Serial Number,Argos Hex ID,deployment order number,"float ""owner""",WMO Instrument Type,CTD Sensor Type,SBE serial number,controller board serial number,Oxy Sensor serial number,pressure sensor serial number,reprate,parktime,asctime,surftime,Park Pressure,uptime,Profile pressure,Launch platform,np0 Profile count offset,Manufacturer,Float subtype,Sensors I=ice O=oxy T=tmiss C=comp,pressure sensor mfg,end mission date,End Mark
Column1,live,20170120084400,-53,68.1,152389,2902222,7532,E41BA5F,412,Incois,846,SBE41,6672,9G-10795,44,4037744,0,9,6.94,2,1000,10,2000,S A AGULHAS,0,webb,1021,,DRUCK,,endrow
Column1,live,20170121012500,-56,69,152382,2902223,7525,E40F6E1,413,Incois,846,SBE41,6348,9G-10756,42,3881797,0,9,6.94,2,1000,10,2000,S A AGULHAS,0,webb,1021,,DRUCK,,endrow
Column1,live,20170216193000,-54,57.5,152390,2902224,7533,E41BA6A,414,Incois,846,SBE41,6673,9G-10771,46,4037745,0,9,6.94,2,1000,10,2000,SA AGULHAS,0,webb,1021,,DRUCK,,endrow
Column1,Dead,20110213075000,-55.5,57.5,102525,2901304,5386,A77B2D4,207,Incois,846,SBE41,5234,9A-7319,0,3174705,42,0,0,0,1000,13,2000,ORV SAGAR NIDHI,0,webb,1010,,DRUCK,20110922051440,endrow
Column1,Dead,20110214090000,-58,57.5,102526,2901305,5387,A77B2E1,208,Incois,846,SBE41,5238,9A-7320,0,3177122,42,0,0,0,1000,13,2000,ORV SAGAR NIDHI,0,webb,1010,,DRUCK,20130813144956,endrow
Column1,Dead,20110829040000,12.5,85.5,102507,2901328,5298,A7747BE,232,Incois,846,SBE41,5166,9A-7244,0,3155247,44,0,0,0,1000,16,2000,ORV SAGAR KANYA,-1,webb,1010,,DRUCK,,endrow
Column1,Dead,20111216223000,21,65,102510,2901339,5496,0,243,Incois,846,SBE41,5245,9A-7335,0,3173082,42,0,0,0,1000,16,2000,ORV SAGAR NIDHI,-1,webb,1010,,DRUCK,,endrow
Column1,Dead,20120128111000,-42,57.5,75415,2901350,5775,953D179,254,Incois,846,SBE41,5595,9A-7918,0,2084810,42,0,0,0,1000,12,2000,ORV SAGAR NIDHI,-1,webb,1010,,KISTLER,,endrow
Column1,Dead,20160311084500,20,65.75,152397,2902206,7540,E41BAD4,396,Incois,846,SBE41,7640,9G-10812,42,10083605,0,9,6.94,2,1000,10,2000,FRV SAGAR SAMPADA,0,webb,1021,,DRUCK,,endrow
Column1,expected,20160307195000,18.5,65.5,152398,2902203,7541,E41BAE1,393,Incois,846,SBE41,7641,9G-10826,44,10083644,0,9,6.94,2,1000,10,2000,FRV SAGAR SAMPADA,0,webb,1021,,DRUCK,,endrow
Column1,Dead,20160306174200,16.5,67,152399,2902201,7542,E41BAF2,391,Incois,846,SBE41,7642,9G-10827,46,10083645,0,9,6.94,2,1000,10,2000,FRV SAGAR SAMPADA,0,webb,1021,,DRUCK,,endrow
Column1,live,20260115133000,11.00,66.87,123230,1902844,25001,0,595,Incois,844,SBE41CP,21432,0i-0,0,13133091,0,4,6.94,2,1000,10,2000,RV Sindhu Sadhana,0,arvor,1024,,DRUCK,,endrow
Column1,live,20260116153200,10.44,65.00,124250,2904082,25002,0,596,Incois,844,SBE41CP,21443,0i-0,0,13139863,0,4,6.94,2,1000,10,2000,RV Sindhu Sadhana,0,arvor,1024,,DRUCK,,endrow
Column1,live,20250302051600,-64.49,70.01,664170,6990711,24022,0,572,Incois,844,SBE41CP,20409,0i-0,0,12374992,0,4,6.94,2,1000,10,2000,RV Agulhas,0,arvor,1024,,DRUCK,,endrow
Column1,live,20260325174400,2.99,83,339490,7902408,25016,0,615,Incois,844,SBE41CP,19290,0i-0,0,12416844,0,4,6.94,2,1000,10,2000,RV Sindhu Sadhana,0,arvor,1024,,DRUCK,,endrow
