start marker,WMO id,SBE serial number,Cond acc,Cond res,Temp acc,Temp res,Press acc,Press res,PA0,PA1,PA2,PTCA0,PTCA1,PTCA2,PTCB0,PTCB1,PTCB2,PTHA0,PTHA1,PTHA2,TA0,TA1,TA2,TA3,G,H,I,J,CPCOR,CTCOR,WBOTC,End marker
11111,2902222,6672,0,0,0,0,0,0,-0.04314358,0.1397197,-3.305634e-08,-19.35985,-0.003776541,-0.0004912132,25.1785,-0.0011,0,-73.25506,0.04943863,-1.833335e-07,9.818357e-05,0.0002662343,-1.849021e-06,1.365519e-07,-0.9931526,0.1459245,-0.0003711941,4.84265e-05,-9.570001e-08,3.25e-06,-3.824377e-07,100000
11111,2902223,6348,0,0,0,0,0,0,0.1084775,0.1405354,-3.716536e-08,10.31777,0.08741811,-0.002383753,25.13675,0.00055,0,-68.7489,0.05267244,-5.7836e-07,5.652651e-05,0.0002713282,-2.22035e-06,1.45625e-07,-0.9851637,0.1402971,-0.0003577645,4.620349e-05,-9.57e-08,3.25e-06,-1.5687e-07,100000
11111,2902224,6673,0,0,0,0,0,0,-0.0054003,0.1404415,-3.43583e-08,15.76756,-0.02481986,0.001067646,25.0805,0.0009,0,-75.69788,0.05148359,-7.801292e-07,3.632621e-06,0.0002718571,-2.269461e-06,1.449071e-07,-0.9722658,0.1341819,-0.000308722,4.047511e-05,-9.570001e-08,3.25e-06,-3.398137e-07,100000
11111,2901304,5234,0,0,0,0,0,0,3.14E-01,1.40E-01,-4.16E-08,5.39E+01,1.79E-01,-3.48E-03,2.53E+01,1.00E-04,0.00E+00,-7.37E+01,4.93E-02,-7.68E-08,1.86E-05,2.75E-04,-2.54E-06,1.52E-07,-1.05E+00,1.46E-01,-3.56E-04,4.61E-05,-9.57E-08,3.25E-06,-5.57E-08,1.00E+05
11111,2901305,5238,0,0,0,0,0,0,3.66E-02,1.40E-01,-4.04E-08,3.44E+01,1.29E-01,-5.40E-03,2.53E+01,-1.15E-03,0.00E+00,-7.60E+01,5.09E-02,-5.21E-07,4.77E-05,2.70E-04,-2.18E-06,1.43E-07,-1.02E+00,1.47E-01,-3.51E-04,4.70E-05,-9.57E-08,3.25E-06,-1.83E-07,1.00E+05
11111,2901328,5166,0,0,0,0,0,0,1.07E+00,1.39E-01,-4.09E-08,2.53E+01,4.36E-01,-3.72E-03,2.54E+01,-1.08E-03,0.00E+00,-7.71E+01,4.77E-02,1.14E-07,6.57E-05,2.69E-04,-2.09E-06,1.42E-07,-1.06E+00,1.52E-01,-3.53E-04,4.73E-05,-9.57E-08,3.25E-06,1.83E-07,1.00E+05
11111,2901339,5245,0,0,0,0,0,0,5.45E-01,1.40E-01,-3.98E-08,4.09E+01,2.94E-01,-5.22E-03,2.54E+01,-4.25E-04,0.00E+00,-7.39E+01,4.97E-02,-2.17E-07,4.54E-05,2.60E-04,-1.44E-06,1.22E-07,-9.75E-01,1.44E-01,-3.40E-04,4.60E-05,-9.57E-08,3.25E-06,-7.02E-08,1.00E+05
11111,2901350,5595,0,0,0,0,0,0,9.13E-07,2.70E-04,-2.18E-06,1.41E-07,-2.35E-01,1.38E-01,1.55E-08,-7.39E+01,-7.52E-01,3.16E-02,1.05E+02,-1.91E-03,0.00E+00,-1.03E+02,4.44E-02,2.96E-07,-9.91E-01,1.45E-01,-3.94E-04,4.95E-05,-9.57E-08,3.25E-06,-5.72E-08,1.00E+05
11111,2902206,7640,0,0,0,0,0,0,-4.49E-01,3.94E-04,-3.32E-13,-1.22E+02,-6.92E+01,8.00E-01,2.51E+01,-8.25E-04,0.00E+00,3.32E+02,-6.51E-05,-1.10E-12,-8.22E-04,2.94E-04,-3.88E-06,1.52E-07,-9.88E-01,1.35E-01,-3.23E-04,4.19E-05,-9.57E-08,3.25E-06,6.16E-07,1.00E+05
11111,2902203,7641,0,0,0,0,0,0,3.61E-01,3.93E-04,-3.10E-13,6.59E+02,2.21E+01,8.32E-01,2.52E+01,7.75E-04,0.00E+00,3.44E+02,-6.94E-05,-6.08E-13,-8.35E-04,2.90E-04,-3.62E-06,1.45E-07,-9.95E-01,1.36E-01,-3.31E-04,4.31E-05,-9.57E-08,3.25E-06,-9.23E-08,1.00E+05
