start marker,Argos number,WMO id,Manufacturer Serial Number,deployment order number,CONFIG_TransmissionRepetitionPeriod_seconds,Parktime (days),Float subtype,CONFIG_ParkTime_hours,CONFIG_AscentTime_hours,CONFIG_SurfaceTime_HH,CONFIG_ParkPressure_dbar,CONFIG_UpTime_hours,CONFIG_ProfilePressure_dbar,CONFIG_MissionPreludeTime_hours,CONFIG_DownTime_hours,CONFIG_AscentToSurfaceTimeOut_hours,CONFIG_TripInterval_hours,CONFIG_CycleTime_hours,CONFIG_PistonPark_COUNT,CONFIG_SlowAscentPistonAdjustment_COUNT,CONFIG_PistonProfile_COUNT,CONFIG_DepthTable_NUMBER,CONFIG_ParkSamplingPeriod_hours,CONFIG_ParkAndProfileCycleCounter_COUNT,CONFIG_ParkSamplingMethod_LOGICAL,CONFIG_ParkSamplingNumberValsReported_COUNT,CONFIG_ParkSamplesPerAverage_COUNT,manual date,firmware date/software date,CONFIG_DescentToParkTimeOut_hours,CONFIG_DescentToProfTimeOut_hours,CONFIG_IceDetection_degC,format standard number
column1,152389,2902222,7532,412,0,9.5,1021,222,5.4,6.6,1000,12,2000,6,222,,1,240,66,,25,67,,,,,,110613,91615,,,,1020
column1,152382,2902223,7525,413,0,9.5,1021,222,5.4,6.6,1000,12,2000,6,222,,1,240,66,,25,67,,,,,,110613,91615,,,,1020
column1,152390,2902224,7533,414,46,9.5,1021,222,5.4,6.6,1000,12,2000,6,222,,1,240,66,,25,67,,,,,,110613,91615,,,,1020
column1,102525,2901304,5386,207,46,9.25,1010,222,9,9,1000,18,2000,6,222,,1,240,30,,25,67,,,,,,61810,20811,,,,1020
column1,102526,2901305,5387,208,42,9.25,1010,222,9,9,1000,18,2000,6,222,,1,240,30,,25,67,,,,,,61810,20811,,,,1020
column1,102507,2901328,5298,232,44,4.5,1010,109,5.5,5.5,1000,11,2000,6,109,,1,120,,,25,67,,,,,,61810,100410,,,,1020
column1,102510,2901339,5496,243,42,9.5,1010,222,9,9,1000,11,2000,6,222,,1,240,,,25,67,,,,,,111710,61810,,,,1020
column1,75415,2901350,5775,254,42,9.5,1010,228,6,6,1000,12,2000,6,228,,1,240,66,,25,67,,,,,,31411,61810,,,,1020
column1,152397,2902206,7540,396,0,9.5,1021,222,5.4,6.6,1000,12,2000,6,222,,1,240,66,,25,67,,,,,,110613,91515,,,,1020
column1,152398,2902203,7541,393,0,9.5,1021,222,5.4,6.6,1000,12,2000,6,222,,1,240,66,,25,67,,,,,,110613,91515,,,,1020
column1,152399,2902201,7542,391,0,9.5,1021,222,5.4,6.6,1000,12,2000,6,222,,1,240,66,,25,67,,,,,,110613,91515,,,,1020
column1,     0,1902844,25001,595,0,4.50,1024,112,6.0,6.6,1000,12,2000,6,222,,1,240,66,,25,67,,,,,,070120,160414,,,,001020
column1,     0,2904082,25002,596,0,4.50,1024,112,6.0,6.6,1000,12,2000,6,222,,1,240,66,,25,67,,,,,,070120,160414,,,,001020
column1,     0,6990711,24022,572,0,4.50,1024,112,6.0,6.6,1000,12,2000,6,222,,1,240,66,,25,67,,,,,,070120,160414,,,,001020
column1,     0,7902408,25016,615,0,4.50,1024,112,6.0,6.6,1000,12,2000,6,222,,1,240,66,,25,67,,,,,,070120,160414,,,,001020
