wmo,sensor_serial,bbp_original_scale,bbp_corrected_scale,source,provenance
2902086,2663,1.645000e-06,1.624766e-06,Barnard 54520 via 301_reference + 1.23% systematic,incois_2902086_meta.nc + doi:10.17882/54520 reprocessed
2902087,2658,1.753000e-06,1.731438e-06,Barnard 54520 via 301_reference + 1.23% systematic,incois_2902087_meta.nc + doi:10.17882/54520 reprocessed
2902088,2660,1.800000e-06,1.777860e-06,Barnard 54520 via 301_reference + 1.23% systematic,incois_2902088_meta.nc + doi:10.17882/54520 reprocessed
2902089,2666,1.668000e-06,1.647484e-06,Barnard 54520 via 301_reference + 1.23% systematic,incois_2902089_meta.nc + doi:10.17882/54520 reprocessed
2902090,2664,1.633000e-06,1.612914e-06,Barnard 54520 via 301_reference + 1.23% systematic,incois_2902090_meta.nc + doi:10.17882/54520 reprocessed
2902091,2662,1.773000e-06,1.751192e-06,Barnard 54520 via 301_reference + 1.23% systematic,incois_2902091_meta.nc + doi:10.17882/54520 reprocessed
2902092,2659,1.740000e-06,1.718598e-06,Barnard 54520 via 301_reference + 1.23% systematic,incois_2902092_meta.nc + doi:10.17882/54520 reprocessed
2902093,2661,1.860000e-06,1.837122e-06,Barnard 54520 via 301_reference + 1.23% systematic,incois_2902093_meta.nc + doi:10.17882/54520 reprocessed
2902113,3045,1.369000e-06,1.352161e-06,Barnard 54520 via 301_reference + 1.23% systematic,incois_2902113_meta.nc + doi:10.17882/54520 reprocessed
2902114,3046,1.387000e-06,1.369940e-06,Barnard 54520 via 301_reference + 1.23% systematic,incois_2902114_meta.nc + doi:10.17882/54520 reprocessed
2902115,3042,1.601000e-06,1.581308e-06,Barnard 54520 via 301_reference + 1.23% systematic,incois_2902115_meta.nc + doi:10.17882/54520 reprocessed
2902118,3065,1.441000e-06,1.423276e-06,Barnard 54520 via 301_reference + 1.23% systematic,incois_2902118_meta.nc + doi:10.17882/54520 reprocessed
2902120,3066,1.413000e-06,1.395620e-06,Barnard 54520 via 301_reference + 1.23% systematic,incois_2902120_meta.nc + doi:10.17882/54520 reprocessed
2902130,3043,1.410000e-06,1.390000e-06,Barnard 54520 via 55891.csv direct,incois_2902130_meta.nc hypothetical + doi:10.17882/54520 reprocessed
2902131,3044,1.380000e-06,1.370000e-06,Barnard 54520 via 55891.csv direct,incois_2902131_meta.nc hypothetical + doi:10.17882/54520 reprocessed
