start marker,WMO id,Webb Number,deployment order number,CTD mfg,CTD serial number,firmware revision number,CTD Sensor Type,Pressure sensor mfg,Pressure sensor serial #,Presure Units,Oxygen sensor mfg,Oxygen Model #,Oxy Sensor serial number,Oxygen Units,Transmiss mfg,Transmiss Model #,Transmiss Serial #,Transmiss units,FLBB/EM sensor mfg,FLBB/EM Model #,FLBB/EM serial #,FLBB/EM units,Comms system,Comms ID,battery config,argos frequency
Column1,2902222,7532,412,SeaBird,6672,91615,SBE41,DRUCK,4037744,dBAR,,,,,,,,,,,,,ARGOS,152389,4DD LI,STANDARD
Column1,2902223,7525,413,SeaBird,6348,91615,SBE41,DRUCK,3881797,dBAR,,,,,,,,,,,,,ARGOS,152382,4DD LI,STANDARD
Column1,2902224,7533,414,SeaBird,6673,91615,SBE41,DRUCK,4037745,dBAR,,,,,,,,,,,,,ARGOS,152390,4DD LI,STANDARD
Column1,2901304,5386,207,SeaBird,5234,61810,SBE41,DRUCK,3174705,dBAR,,,,,,,,,,,,,ARGOS,102525,3D Alk + 1C Alk,STANDARD
Column1,2901305,5387,208,SeaBird,5238,61810,SBE41,DRUCK,3177122,dBAR,,,,,,,,,,,,,ARGOS,102526,3D Alk + 1C Alk,STANDARD
Column1,2901328,5298,232,SeaBird,5166,61810,SBE41,DRUCK,3155247,dBAR,,,,,,,,,,,,,ARGOS,102507,3D Alk + 1C Alk,STANDARD
Column1,2901339,5496,243,SeaBird,5245,61810,SBE41,DRUCK,3173082,dBAR,,,,,,,,,,,,,ARGOS,102513,3D Alk + 1C Alk,STANDARD
Column1,2901350,5775,254,SeaBird,5595,61810,SBE41,KISTLER,2084810,dBAR,,,,,,,,,,,,,ARGOS,75415,3D Alk + 1C Alk,STANDARD
Column1,2902206,7540,396,SeaBird,7640,110613,SBE41,DRUCK,10083605,dBAR,,,,,,,,,,,,,ARGOS,152397,4DD LI,STANDARD
Column1,2902203,7541,393,SeaBird,7641,110613,SBE41,DRUCK,10083644,dBAR,,,,,,,,,,,,,ARGOS,152398,4DD LI,STANDARD
Column1,2902201,7542,391,SeaBird,7642,110613,SBE41,DRUCK,10083645,dBAR,,,,,,,,,,,,,ARGOS,152399,4DD LI,STANDARD
Column1,1902844,25001,595,SeaBird,21432,7.2.5,SBE41CP,DRUCK,13133091,dBAR,,,,,,,,,,,,,IRIDIUM,0,4DD LI,STANDARD
Column1,2904082,25002,596,SeaBird,21443,7.2.5,SBE41CP,DRUCK,13139863,dBAR,,,,,,,,,,,,,IRIDIUM,0,4DD LI,STANDARD
Column1,6990711,24022,572,SeaBird,20409,7.2.5,SBE41CP,DRUCK,12374992,dBAR,,,,,,,,,,,,,IRIDIUM,0,4DD LI,STANDARD
Column1,7902408,25016,615,SeaBird,19290,7.2.5,SBE41CP,DRUCK,12416844,dBAR,,,,,,,,,,,,,IRIDIUM,0,4DD LI,STANDARD
