(May 26 2011 02:16:45,    6708 sec) AirSystem()          Air-bladder inflation by-passed. Barometer: [126cnt, 6.5"Hg].
(May 26 2011 02:17:49,    6772 sec) GpsServices()        GPS almanac is current.
(May 26 2011 02:17:49,    6772 sec) GpsServices()        Initiating GPS fix acquisition.
(May 26 2011 02:18:05,    6788 sec) gga()                $GPGGA,021800,0212.5836,S,08119.4080,E,0,00,,,M,,M,,*4F
(May 26 2011 02:18:33,    6815 sec) gga()                $GPGGA,021810,0212.6082,S,08119.4081,E,1,08,0.9,3.6,M,-91.7,M,,*72
(May 26 2011 02:18:33,    6816 sec) GpsServices()        Profile 0 GPS fix obtained in 44 seconds.
(May 26 2011 02:18:33,    6816 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(May 26 2011 02:18:33,    6816 sec) GpsServices()        Fix:   81.323  -2.210 05/26/2011 021810    8
(May 26 2011 02:19:03,    6845 sec) gga()                $GPGGA,021840,0212.6786,S,08119.4016,E,1,08,0.9,2.4,M,-91.7,M,,*79
(May 26 2011 02:19:09,    6851 sec) gga()                $GPGGA,021910,0212.7485,S,08119.3972,E,1,08,0.9,3.8,M,-91.7,M,,*7D
(May 26 2011 02:19:09,    6851 sec) GpsServices()        APF9 RTC skew (-1s) OK.
(May 26 2011 02:19:09,    6852 sec) LogNmeaSentences()   M,17.1,M*21
(May 26 2011 02:19:09,    6852 sec) LogNmeaSentences()   $PGRMT,GPS 15-L Ver. 4.40,P,P,R,R,P,,,R,P*7E
(May 26 2011 02:19:09,    6852 sec) LogNmeaSentences()   $PGRMB,0.0,200,,,,K,,N,N*31
(May 26 2011 02:19:09,    6852 sec) LogNmeaSentences()   $PGRMM,WGS 84*06
(May 26 2011 02:19:18,    6861 sec) LogNmeaSentences()   $GPRMC,021920,A,0212.7720,S,08119.3959,E,008.1,182.4,260511,004.6,W*70
(May 26 2011 02:19:19,    6862 sec) LogNmeaSentences()   $GPGGA,021920,0212.7720,S,08119.3959,E,1,08,0.9,4.4,M,-91.7,M,,*70
(May 26 2011 02:19:19,    6862 sec) LogNmeaSentences()   $GPGSA,A,3,03,06,14,,18,,21,22,25,,31,,2.2,0.9,2.0*36
(May 26 2011 02:19:20,    6862 sec) LogNmeaSentences()   $GPGSV,3,3,11,25,23,117,45,29,10,151,00,31,53,201,46*43
(May 26 2011 02:19:20,    6862 sec) LogNmeaSentences()   $PGRME,7.9,M,15.2,M,17.1,M*21
(May 26 2011 02:19:20,    6863 sec) LogNmeaSentences()   $PGRMB,0.0,200,,,,K,,N,N*31
(May 26 2011 02:19:20,    6863 sec) LogNmeaSentences()   $PGRMM,WGS 84*06
(May 26 2011 02:19:28,    6871 sec) LogNmeaSentences()   $GPRMC,021930,A,0212.7960,S,08119.3944,E,008.6,184.4,260511,004.6,W*76
(May 26 2011 02:19:29,    6872 sec) LogNmeaSentences()   $GPGGA,021930,0212.7960,S,08119.3944,E,1,08,0.9,3.0,M,-91.7,M,,*74
(May 26 2011 02:19:29,    6872 sec) LogNmeaSentences()   $GPGSA,A,3,03,06,14,,18,,21,22,25,,31,,2.2,0.9,2.0*36
(May 26 2011 02:19:30,    6872 sec) LogNmeaSentences()   $GPGSV,3,1,11,03,19,273,44,06,28,267,43,14,38,335,47,16,01,228,36*7D
(May 26 2011 02:19:30,    6873 sec) LogNmeaSentences()   $PGRME,7.9,M,15.2,M,17.1,M*21
(May 26 2011 02:19:30,    6873 sec) LogNmeaSentences()   $PGRMB,0.0,200,,,,K,,N,N*31
(May 26 2011 02:19:30,    6873 sec) LogNmeaSentences()   $PGRMM,WGS 84*06
(May 26 2011 02:19:38,    6881 sec) LogNmeaSentences()   $GPRMC,021940,A,0212.8199,S,08119.3929,E,008.7,184.1,260511,004.6,W*7F
(May 26 2011 02:19:39,    6882 sec) LogNmeaSentences()   $GPGGA,021940,0212.8199,S,08119.3929,E,1,08,0.9,2.8,M,-91.7,M,,*70
(May 26 2011 02:19:39,    6882 sec) LogNmeaSentences()   $GPGSA,A,3,03,06,14,,18,,21,22,25,,31,,2.2,0.9,2.0*36
(May 26 2011 02:19:40,    6882 sec) LogNmeaSentences()   $GPGSV,3,2,11,18,25,036,45,19,05,301,00,21,63,116,47,22,23,000,47*7C
(May 26 2011 02:19:40,    6882 sec) GpsServices()        GPS services complete.
(May 26 2011 02:20:04,    6907 sec) CLogin()             Connecting to primary host.
(May 26 2011 02:20:17,    6919 sec) CLogin()             Connection 1 established in 13 seconds.
(May 26 2011 02:20:25,    6928 sec) login()              Login successful.
(May 26 2011 02:20:29,    6931 sec) CLogin()             Logged in to host.  [Login required 12 seconds]
(May 26 2011 02:20:37,    6939 sec) RxConfig()           Downloading "mission.cfg" from host.
(May 26 2011 02:20:39,    6942 sec) Rx()                 Initiating transfer. [0x43]
(May 26 2011 02:20:45,    6948 sec) Rx()                 Pad character [0x1a] found in ascii mode - truncating packet.
(May 26 2011 02:20:50,    6952 sec) Rx()                 Received EOT - transfer complete. [1 packets, 1024 bytes, 11 sec, 93.1 bps]
(May 26 2011 02:20:50,    6952 sec) RxConfig()           Download successful.
(May 26 2011 02:21:03,    6966 sec) WriteVitals()        Writing vitals to "6856.1105260216".
