(Jan 11 2016 23:26:34,    7886 sec) AirSystem()          Air-bladder inflation by-passed. Barometer: [125cnt, 6.2"Hg].
(Jan 11 2016 23:27:13,    7925 sec) GpsServices()        GPS almanac is current.
(Jan 11 2016 23:27:13,    7926 sec) GpsServices()        Initiating GPS fix acquisition.
(Jan 11 2016 23:27:43,    7955 sec) gga()                $GPGGA,232700,1430.0273,N,08524.8722,E,1,11,0.8,-5.4,M,-77.4,M,,*4F
(Jan 11 2016 23:27:43,    7956 sec) GpsServices()        Profile 0 GPS fix obtained in 30 seconds.
(Jan 11 2016 23:27:43,    7956 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Jan 11 2016 23:27:43,    7956 sec) GpsServices()        Fix:   85.415  14.500 01/11/2016 232700   11
(Jan 11 2016 23:28:12,    7985 sec) gga()                $GPGGA,232730,1430.0263,N,08524.8640,E,1,11,0.8,-2.6,M,-77.4,M,,*4D
(Jan 11 2016 23:28:18,    7991 sec) gga()                $GPGGA,232800,1430.0275,N,08524.8561,E,1,11,0.8,-3.6,M,-77.4,M,,*47
(Jan 11 2016 23:28:18,    7991 sec) GpsServices()        APF9 RTC skew (18s) OK.
(Jan 11 2016 23:28:19,    7991 sec) LogNmeaSentences()   13,17,161,42,15,06,196,39,17,13,105,41,19,08,106,39*72
(Jan 11 2016 23:28:19,    7991 sec) LogNmeaSentences()   $GPGSV,3,3,11,20,34,219,45,24,15,228,41,25,27,317,43*48
(Jan 11 2016 23:28:19,    7992 sec) LogNmeaSentences()   $PGRMT,GPS 15x-L software ver. 3.90,,,,,,,,*7D
(Jan 11 2016 23:28:28,    8000 sec) LogNmeaSentences()   $GPRMC,232810,A,1430.0273,N,08524.8538,E,001.6,314.0,110116,001.3,W*66
(Jan 11 2016 23:28:28,    8001 sec) LogNmeaSentences()   $GPGGA,232810,1430.0273,N,08524.8538,E,1,11,0.8,-3.4,M,-77.4,M,,*4E
(Jan 11 2016 23:28:29,    8001 sec) LogNmeaSentences()   $GPGSA,A,3,02,05,06,12,13,15,17,19,20,24,25,,1.1,0.8,0.8*3B
(Jan 11 2016 23:28:29,    8002 sec) LogNmeaSentences()   $GPGSV,3,1,11,02,40,007,46,05,86,150,49,06,15,044,42,12,65,293,48*7A
(Jan 11 2016 23:28:29,    8002 sec) LogNmeaSentences()   $GPGSV,3,2,11,13,17,161,43,15,06,196,42,17,13,105,45,19,08,106,42*77
(Jan 11 2016 23:28:30,    8002 sec) LogNmeaSentences()   $GPGSV,3,3,11,20,34,219,46,24,15,228,42,25,27,317,39*45
(Jan 11 2016 23:28:38,    8010 sec) LogNmeaSentences()   $GPRMC,232820,A,1430.0279,N,08524.8512,E,001.0,305.2,110116,001.3,W*63
(Jan 11 2016 23:28:38,    8011 sec) LogNmeaSentences()   $GPGGA,232820,1430.0279,N,08524.8512,E,1,11,0.8,-3.7,M,-77.4,M,,*4C
(Jan 11 2016 23:28:39,    8011 sec) LogNmeaSentences()   $GPGSA,A,3,02,05,06,12,13,15,17,19,20,24,25,,1.1,0.8,0.8*3B
(Jan 11 2016 23:28:39,    8012 sec) LogNmeaSentences()   $GPGSV,3,1,11,02,40,007,42,05,87,147,47,06,15,044,39,12,65,293,45*76
(Jan 11 2016 23:28:39,    8012 sec) LogNmeaSentences()   $GPGSV,3,2,11,13,17,161,38,15,06,196,40,17,13,105,45,19,08,106,42*79
(Jan 11 2016 23:28:40,    8012 sec) LogNmeaSentences()   $GPGSV,3,3,11,20,34,219,41,24,15,228,35,25,27,317,41*4D
