(Dec 24 2016 17:11:24,    5839 sec) AirSystem()          Battery [194cnt, 15.0V]  Current [68cnt, 274.0mA]  Barometer [127cnt, 6.8"Hg]  Run-Time [3s]
(Dec 24 2016 17:12:09,    5884 sec) GetSurfaceObs()      P/O2,T2,TPhase,RPhase,RawTemp/FSig,BbSig,TSig: 0.1dbars / 250.3uM 23.392C 30.493 8.713 -17.483 / 61,139,531
(Dec 24 2016 17:12:20,    5895 sec) GpsServices()        GPS almanac is current.
(Dec 24 2016 17:12:20,    5895 sec) GpsServices()        Initiating GPS fix acquisition.
(Dec 24 2016 17:13:14,    5949 sec) gga()                $GPGGA,171230,1812.5082,N,08940.8228,E,1,10,0.8,4.7,M,-67.5,M,,*67
(Dec 24 2016 17:13:14,    5949 sec) GpsServices()        Profile 0 GPS fix obtained in 54 seconds.
(Dec 24 2016 17:13:14,    5949 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Dec 24 2016 17:13:14,    5949 sec) GpsServices()        Fix:   89.680  18.208 12/24/2016 171230   10
(Dec 24 2016 17:14:03,    5998 sec) gga()                $GPGGA,171320,1812.5143,N,08940.8138,E,1,09,0.8,-1.3,M,-67.5,M,,*4D
(Dec 24 2016 17:14:10,    6005 sec) gga()                $GPGGA,171410,1812.5209,N,08940.8035,E,1,10,0.7,-1.6,M,-67.5,M,,*4A
(Dec 24 2016 17:14:11,    6006 sec) GpsServices()        APF9 RTC skew (1s) OK.
(Dec 24 2016 17:14:11,    6006 sec) GpsServices()        GPS services complete.
(Dec 24 2016 17:14:44,    6039 sec) CLogin()             Connecting to primary host.
(Dec 24 2016 17:15:03,    6058 sec) CLogin()             Connection 1 established in 19 seconds.
(Dec 24 2016 17:15:17,    6072 sec) login()              Login successful.
(Dec 24 2016 17:15:22,    6077 sec) chat()               Expected string [cmd>] not received.
(Dec 24 2016 17:15:22,    6077 sec) login()              Attempt to set the command prompt failed.
(Dec 24 2016 17:15:28,    6083 sec) CLogin()             Logged in to host.  [Login required 25 seconds]
(Dec 24 2016 17:15:42,    6097 sec) RxConfig()           Downloading "mission.cfg" from host.
(Dec 24 2016 17:15:45,    6100 sec) Rx()                 Initiating transfer. [0x43]
(Dec 24 2016 17:15:53,    6108 sec) Rx()                 Pad character [0x1a] found in ascii mode - truncating packet.
(Dec 24 2016 17:15:58,    6113 sec) Rx()                 Received EOT - transfer complete. [1 packets, 1024 bytes, 13 sec, 78.8 bps]
(Dec 24 2016 17:15:58,    6113 sec) RxConfig()           Download successful.
(Dec 24 2016 17:16:21,    6136 sec) WriteVitals()        Writing vitals to "7825.1612241711".
(Dec 24 2016 17:16:26,    6141 sec) UpLoadFile()         Uploading "7825.1612241648.log" to host as "7825.1612241648.log".
(Dec 24 2016 17:16:30,    6145 sec) Tx()                 CRC negotiation successful. [16-bit CRC]
(Dec 24 2016 17:17:21,    6196 sec) Tx()                 Transmission completed successfully [8 packets, 7311 bytes, 49 sec, 167.2 bps]
(Dec 24 2016 17:17:22,    6197 sec) UpLoadFile()         Upload successful.
(Dec 24 2016 17:17:26,    6201 sec) UpLoadFile()         Uploading "7825.1612241711" to host as "7825.1612241711".
(Dec 24 2016 17:17:29,    6204 sec) Tx()                 CRC negotiation successful. [16-bit CRC]
(Dec 24 2016 17:17:39,    6214 sec) Tx()                 Transmission completed successfully [1 packets, 799 bytes, 9 sec, 113.8 bps]
(Dec 24 2016 17:17:40,    6215 sec) UpLoadFile()         Upload successful.
(Dec 24 2016 17:17:50,    6225 sec) UpLoad()             Files successfully uploaded: 2
(Dec 24 2016 17:17:50,    6225 sec) UpLoad()             Upload complete.
(Dec 24 2016 17:17:54,    6229 sec) logout()             Log-out successful.
(Dec 24 2016 17:17:55,    6230 sec) Telemetry()          Telemetry cycle complete: PrfId=0 ConnectionAttempts=1  Connections=1
(Dec 24 2016 17:17:58,    6233 sec) configure()          Parsing configurators in "mission.cfg".
(Dec 24 2016 17:18:05,    6240 sec) configure()             TelemetryRetry(15)      [0x7BBC] [TelemetryRetry(15)].
(Dec 24 2016 17:18:05,    6240 sec) configure()          Configuration CRCs and syntax OK.
(Dec 24 2016 17:18:05,    6240 sec) ConfigSupervisor()   Sanity check violated: cfg->PressureCP >= 750
(Dec 24 2016 17:18:05,    6240 sec) ConfigSupervisor()   Configuration accepted.
(Dec 24 2016 17:33:14,    7149 sec) Prelude()            Logging configuration and initiating telemetry.
(Dec 24 2016 17:33:14,    7149 sec) LogConfiguration()   Mission configuration for Apf9i FwRev 061016:
(Dec 24 2016 17:33:14,    7149 sec) LogConfiguration()      AscentTimeOut(540) [min]
(Dec 24 2016 17:33:14,    7149 sec) LogConfiguration()      AtDialCmd(AT+CBST=71,0,1;DT0088160000573) [primary]
(Dec 24 2016 17:33:14,    7149 sec) LogConfiguration()      AltDialCmd(ATDT0013014291790) [alternate]
(Dec 24 2016 17:33:14,    7149 sec) LogConfiguration()      BuoyancyNudge(10) [count]
(Dec 24 2016 17:33:14,    7149 sec) LogConfiguration()      BuoyancyNudgeInitial(22) [count]
(Dec 24 2016 17:33:14,    7150 sec) LogConfiguration()      ConnectTimeOut(60) [sec]
(Dec 24 2016 17:33:15,    7150 sec) LogConfiguration()      CpActivationP(500) [dbar]
(Dec 24 2016 17:33:15,    7150 sec) LogConfiguration()      DeepProfileDescentTime(300) [min]
(Dec 24 2016 17:33:15,    7150 sec) LogConfiguration()      DeepProfilePistonPos(16) [count]
(Dec 24 2016 17:33:15,    7150 sec) LogConfiguration()      DeepProfilePressure(2000) [dbar]
(Dec 24 2016 17:33:15,    7150 sec) LogConfiguration()      CompensatorHyperRetraction(254) [count]
(Dec 24 2016 17:33:15,    7150 sec) LogConfiguration()      DownTime(6540) [min]
(Dec 24 2016 17:33:15,    7150 sec) LogConfiguration()      FlbbMode(1)
(Dec 24 2016 17:33:15,    7150 sec) LogConfiguration()      FloatId(7825)
(Dec 24 2016 17:33:15,    7150 sec) LogConfiguration()      FullExtension(226) [count]
(Dec 24 2016 17:33:15,    7151 sec) LogConfiguration()      FullRetraction(9) [count]
(Dec 24 2016 17:33:16,    7151 sec) LogConfiguration()      MaxAirBladder(124) [count]
(Dec 24 2016 17:33:16,    7151 sec) LogConfiguration()      MaxLogKb(40) [KByte]
(Dec 24 2016 17:33:16,    7151 sec) LogConfiguration()      MissionPrelude(360) [min]
(Dec 24 2016 17:33:16,    7151 sec) LogConfiguration()      OkVacuum(96) [count]
(Dec 24 2016 17:33:16,    7151 sec) LogConfiguration()      PActivationPistonPosition(16) [count]
(Dec 24 2016 17:33:16,    7151 sec) LogConfiguration()      ParkDescentTime(300) [min]
(Dec 24 2016 17:33:16,    7151 sec) LogConfiguration()      ParkPistonPos(66) [count]
(Dec 24 2016 17:33:16,    7151 sec) LogConfiguration()      ParkPressure(1000) [dbar]
(Dec 24 2016 17:33:16,    7151 sec) LogConfiguration()      PnPCycleLen(1)
(Dec 24 2016 17:33:16,    7152 sec) LogConfiguration()      Pwd(0x3c35)
(Dec 24 2016 17:33:17,    7152 sec) LogConfiguration()      TelemetryRetry(15) [min]
(Dec 24 2016 17:33:17,    7152 sec) LogConfiguration()      TimeOfDay(DISABLED) [min]
(Dec 24 2016 17:33:17,    7152 sec) LogConfiguration()      UpTime(660) [min]
