(Dec 24 2016 21:09:37,   20133 sec) AirSystem()          Air-bladder inflation by-passed. Barometer: [126cnt, 6.5"Hg].
(Dec 24 2016 21:10:23,   20178 sec) GetSurfaceObs()      P/O2,T2,TPhase,RPhase,RawTemp/FSig,BbSig,TSig: 0.1dbars / 252.0uM 23.039C 30.563 8.694 -6.164 / 60,134,531
(Dec 24 2016 21:10:34,   20189 sec) GpsServices()        GPS almanac is current.
(Dec 24 2016 21:10:34,   20189 sec) GpsServices()        Initiating GPS fix acquisition.
(Dec 24 2016 21:11:23,   20239 sec) gga()                $GPGGA,211040,1815.5280,N,08938.2322,E,1,08,0.9,6.7,M,-67.6,M,,*67
(Dec 24 2016 21:11:24,   20239 sec) GpsServices()        Profile 0 GPS fix obtained in 50 seconds.
(Dec 24 2016 21:11:24,   20239 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Dec 24 2016 21:11:24,   20239 sec) GpsServices()        Fix:   89.637  18.259 12/24/2016 211040    8
(Dec 24 2016 21:12:13,   20288 sec) gga()                $GPGGA,211130,1815.5406,N,08938.2240,E,1,08,0.9,2.1,M,-67.6,M,,*6E
(Dec 24 2016 21:12:20,   20295 sec) gga()                $GPGGA,211220,1815.5532,N,08938.2178,E,1,08,0.9,1.9,M,-67.6,M,,*69
(Dec 24 2016 21:12:21,   20296 sec) GpsServices()        APF9 RTC skew (1s) OK.
(Dec 24 2016 21:12:21,   20296 sec) GpsServices()        GPS services complete.
(Dec 24 2016 21:12:54,   20329 sec) CLogin()             Connecting to primary host.
(Dec 24 2016 21:13:12,   20347 sec) CLogin()             Connection 1 established in 18 seconds.
(Dec 24 2016 21:13:21,   20356 sec) login()              Login successful.
(Dec 24 2016 21:13:25,   20360 sec) CLogin()             Logged in to host.  [Login required 13 seconds]
(Dec 24 2016 21:13:37,   20372 sec) RxConfig()           Downloading "mission.cfg" from host.
(Dec 24 2016 21:13:40,   20375 sec) Rx()                 Initiating transfer. [0x43]
(Dec 24 2016 21:13:46,   20381 sec) Rx()                 Pad character [0x1a] found in ascii mode - truncating packet.
(Dec 24 2016 21:13:51,   20386 sec) Rx()                 Received EOT - transfer complete. [1 packets, 1024 bytes, 11 sec, 93.1 bps]
(Dec 24 2016 21:13:51,   20386 sec) RxConfig()           Download successful.
(Dec 24 2016 21:14:14,   20409 sec) WriteVitals()        Writing vitals to "7825.1612242109".
(Dec 24 2016 21:14:19,   20414 sec) UpLoadFile()         Uploading "7825.1612242046.log" to host as "7825.1612242046.log".
(Dec 24 2016 21:14:22,   20417 sec) Tx()                 CRC negotiation successful. [16-bit CRC]
(Dec 24 2016 21:15:14,   20470 sec) Tx()                 Transmission completed successfully [8 packets, 7545 bytes, 51 sec, 160.6 bps]
(Dec 24 2016 21:15:15,   20470 sec) UpLoadFile()         Upload successful.
(Dec 24 2016 21:15:19,   20474 sec) UpLoadFile()         Uploading "7825.1612242109" to host as "7825.1612242109".
(Dec 24 2016 21:15:22,   20477 sec) Tx()                 CRC negotiation successful. [16-bit CRC]
(Dec 24 2016 21:15:33,   20489 sec) Tx()                 Transmission completed successfully [1 packets, 799 bytes, 10 sec, 102.4 bps]
(Dec 24 2016 21:15:34,   20489 sec) UpLoadFile()         Upload successful.
(Dec 24 2016 21:15:44,   20499 sec) UpLoad()             Files successfully uploaded: 2
(Dec 24 2016 21:15:44,   20499 sec) UpLoad()             Upload complete.
(Dec 24 2016 21:15:48,   20503 sec) logout()             Log-out successful.
(Dec 24 2016 21:15:50,   20505 sec) Telemetry()          Telemetry cycle complete: PrfId=0 ConnectionAttempts=1  Connections=1
(Dec 24 2016 21:15:52,   20507 sec) configure()          Parsing configurators in "mission.cfg".
(Dec 24 2016 21:15:59,   20514 sec) configure()             TelemetryRetry(15)      [0x7BBC] [TelemetryRetry(15)].
(Dec 24 2016 21:15:59,   20514 sec) configure()          Configuration CRCs and syntax OK.
(Dec 24 2016 21:15:59,   20515 sec) ConfigSupervisor()   Sanity check violated: cfg->PressureCP >= 750
(Dec 24 2016 21:16:00,   20515 sec) ConfigSupervisor()   Configuration accepted.
(Dec 24 2016 21:31:08,   21423 sec) Prelude()            Logging configuration and initiating telemetry.
(Dec 24 2016 21:31:08,   21423 sec) LogConfiguration()   Mission configuration for Apf9i FwRev 061016:
(Dec 24 2016 21:31:08,   21423 sec) LogConfiguration()      AscentTimeOut(540) [min]
(Dec 24 2016 21:31:08,   21423 sec) LogConfiguration()      AtDialCmd(AT+CBST=71,0,1;DT0088160000573) [primary]
(Dec 24 2016 21:31:08,   21423 sec) LogConfiguration()      AltDialCmd(ATDT0013014291790) [alternate]
(Dec 24 2016 21:31:08,   21423 sec) LogConfiguration()      BuoyancyNudge(10) [count]
(Dec 24 2016 21:31:08,   21423 sec) LogConfiguration()      BuoyancyNudgeInitial(22) [count]
(Dec 24 2016 21:31:08,   21424 sec) LogConfiguration()      ConnectTimeOut(60) [sec]
(Dec 24 2016 21:31:09,   21424 sec) LogConfiguration()      CpActivationP(500) [dbar]
(Dec 24 2016 21:31:09,   21424 sec) LogConfiguration()      DeepProfileDescentTime(300) [min]
(Dec 24 2016 21:31:09,   21424 sec) LogConfiguration()      DeepProfilePistonPos(16) [count]
(Dec 24 2016 21:31:09,   21424 sec) LogConfiguration()      DeepProfilePressure(2000) [dbar]
(Dec 24 2016 21:31:09,   21424 sec) LogConfiguration()      CompensatorHyperRetraction(254) [count]
(Dec 24 2016 21:31:09,   21424 sec) LogConfiguration()      DownTime(6540) [min]
(Dec 24 2016 21:31:09,   21424 sec) LogConfiguration()      FlbbMode(1)
(Dec 24 2016 21:31:09,   21424 sec) LogConfiguration()      FloatId(7825)
(Dec 24 2016 21:31:09,   21425 sec) LogConfiguration()      FullExtension(226) [count]
(Dec 24 2016 21:31:09,   21425 sec) LogConfiguration()      FullRetraction(9) [count]
(Dec 24 2016 21:31:10,   21425 sec) LogConfiguration()      MaxAirBladder(124) [count]
(Dec 24 2016 21:31:10,   21425 sec) LogConfiguration()      MaxLogKb(40) [KByte]
(Dec 24 2016 21:31:10,   21425 sec) LogConfiguration()      MissionPrelude(360) [min]
(Dec 24 2016 21:31:10,   21425 sec) LogConfiguration()      OkVacuum(96) [count]
(Dec 24 2016 21:31:10,   21425 sec) LogConfiguration()      PActivationPistonPosition(16) [count]
(Dec 24 2016 21:31:10,   21425 sec) LogConfiguration()      ParkDescentTime(300) [min]
(Dec 24 2016 21:31:10,   21425 sec) LogConfiguration()      ParkPistonPos(66) [count]
(Dec 24 2016 21:31:10,   21425 sec) LogConfiguration()      ParkPressure(1000) [dbar]
(Dec 24 2016 21:31:10,   21426 sec) LogConfiguration()      PnPCycleLen(1)
(Dec 24 2016 21:31:10,   21426 sec) LogConfiguration()      Pwd(0x3c35)
(Dec 24 2016 21:31:11,   21426 sec) LogConfiguration()      TelemetryRetry(15) [min]
(Dec 24 2016 21:31:11,   21426 sec) LogConfiguration()      TimeOfDay(DISABLED) [min]
(Dec 24 2016 21:31:11,   21426 sec) LogConfiguration()      UpTime(660) [min]
(Dec 24 2016 21:31:11,   21426 sec) LogConfiguration()      User(f7825)
(Dec 24 2016 21:31:11,   21426 sec) LogConfiguration()      Verbosity(2)
(Dec 24 2016 21:31:11,   21426 sec) LogConfiguration()      DebugBits(0x0002)

