(Aug 20 2018 21:34:31,  863093 sec) TelemetryInit()      Profile 107. (Apf9i FwRev: 061016)
(Aug 20 2018 21:41:32,  863515 sec) AirSystem()          Battery [188cnt, 14.6V]  Current [76cnt, 306.2mA]  Barometer [127cnt, 6.8"Hg]  Run-Time [50s]
(Aug 20 2018 21:42:09,  863551 sec) GetSurfaceObs()      P/O2,T2,TPhase,RPhase,RawTemp/FSig,BbSig,TSig: -0.5dbars / 231.5uM 26.227C 29.802 8.956 72.107 / 130,172,536
(Aug 20 2018 21:42:17,  863560 sec) GpsServices()        GPS almanac is current.
(Aug 20 2018 21:42:17,  863560 sec) GpsServices()        Initiating GPS fix acquisition.
(Aug 20 2018 21:42:33,  863576 sec) gga()                $GPGGA,214200,1508.2801,N,06612.7072,E,0,00,,,M,,M,,*5E
(Aug 20 2018 21:42:44,  863587 sec) gga()                $GPGGA,214210,1508.2801,N,06612.7072,E,0,00,,,M,,M,,*5F
(Aug 20 2018 21:42:55,  863598 sec) gga()                $GPGGA,214210,1508.2801,N,06612.7072,E,0,00,,,M,,M,,*5F
(Aug 20 2018 21:43:06,  863609 sec) gga()                $GPGGA,214220,1508.2801,N,06612.7072,E,0,00,,,M,,M,,*5C
(Aug 20 2018 21:43:17,  863620 sec) gga()                $GPGGA,214230,1508.2801,N,06612.7072,E,0,00,,,M,,M,,*5D
(Aug 20 2018 21:43:28,  863631 sec) gga()                $GPGGA,214250,1508.2801,N,06612.7072,E,0,00,,,M,,M,,*5B
(Aug 20 2018 21:43:39,  863642 sec) gga()                $GPGGA,214300,1508.2801,N,06612.7072,E,0,00,,,M,,M,,*5F
(Aug 20 2018 21:43:50,  863653 sec) gga()                $GPGGA,214310,1508.2801,N,06612.7072,E,0,00,,,M,,M,,*5E
(Aug 20 2018 21:43:53,  863656 sec) gga()                $GPGGA,214320,1508.2801,N,06612.7072,E,0,00,,,M,,M,,*5D
(Aug 20 2018 21:45:17,  863740 sec) gga()                $GPGGA,214420,1532.3875,N,06630.3898,E,1,07,1.2,-12.2,M,-68.4,M,,*79
(Aug 20 2018 21:45:18,  863741 sec) GpsServices()        Profile 107 GPS fix obtained in 180 seconds.
(Aug 20 2018 21:45:18,  863741 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Aug 20 2018 21:45:18,  863741 sec) GpsServices()        Fix:   66.507  15.540 08/20/2018 214420    7
(Aug 20 2018 21:46:07,  863790 sec) gga()                $GPGGA,214510,1532.3877,N,06630.4016,E,1,08,1.0,-8.7,M,-68.4,M,,*43
(Aug 20 2018 21:46:15,  863798 sec) gga()                $GPGGA,214600,1532.3856,N,06630.4131,E,1,08,1.0,-6.7,M,-68.4,M,,*48
(Aug 20 2018 21:46:15,  863798 sec) GpsServices()        APF9 RTC skew (15s) OK.
(Aug 20 2018 21:46:25,  863808 sec) LogNmeaSentences()   $GPRMC,214610,A,1532.3846,N,06630.4174,E,001.8,044.9,200818,000.8,W*66
(Aug 20 2018 21:46:26,  863808 sec) LogNmeaSentences()   $GPGGA,214610,1532.3846,N,06630.4174,E,1,08,1.0,-4.1,M,-68.4,M,,*4D
(Aug 20 2018 21:46:26,  863809 sec) LogNmeaSentences()   $GPGSA,A,3,,07,08,09,11,,23,27,28,30,,,1.3,1.0,0.9*33
(Aug 20 2018 21:46:27,  863809 sec) LogNmeaSentences()   $GPGSV,3,1,12,03,00,000,41,07,38,347,47,08,42,069,49,09,81,045,50*79
(Aug 20 2018 21:46:27,  863810 sec) LogNmeaSentences()   $GPGSV,3,2,12,11,24,133,45,17,04,200,31,23,57,126,49,27,15,046,43*70
(Aug 20 2018 21:46:28,  863811 sec) LogNmeaSentences()   $GPGSV,3,3,12,28,44,249,44,30,25,314,43,01,06,147,00,18,06,124,00*77
(Aug 20 2018 21:46:35,  863818 sec) LogNmeaSentences()   $GPRMC,214620,A,1532.3866,N,06630.4200,E,002.1,058.3,200818,000.8,W*6A
(Aug 20 2018 21:46:36,  863818 sec) LogNmeaSentences()   $GPGGA,214620,1532.3866,N,06630.4200,E,1,08,1.0,-4.0,M,-68.4,M,,*4D
(Aug 20 2018 21:46:36,  863819 sec) LogNmeaSentences()   $GPGSA,A,3,,,07,08,09,11,,23,27,28,30,,2.0,1.0,1.7*3C
(Aug 20 2018 21:46:37,  863819 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,06,147,38,03,00,000,40,07,38,347,48,08,42,069,49*7D
(Aug 20 2018 21:46:37,  863820 sec) LogNmeaSentences()   $GPGSV,3,2,12,09,81,045,51,11,24,133,43,17,04,200,40,23,57,126,49*71
(Aug 20 2018 21:46:38,  863821 sec) LogNmeaSentences()   $GPGSV,3,3,12,27,15,046,45,28,44,249,44,30,25,314,44,18,06,124,00*77
(Aug 20 2018 21:46:45,  863828 sec) LogNmeaSentences()   $GPRMC,214630,A,1532.3855,N,06630.4229,E,001.4,250.5,200818,000.8,W*6A
(Aug 20 2018 21:46:46,  863828 sec) LogNmeaSentences()   $GPGGA,214630,1532.3855,N,06630.4229,E,1,08,1.0,-3.2,M,-68.4,M,,*42
(Aug 20 2018 21:46:46,  863829 sec) LogNmeaSentences()   $GPGSA,A,3,,,07,08,09,11,,,23,27,28,30,1.3,1.0,0.9*33
(Aug 20 2018 21:46:47,  863829 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,06,147,38,03,00,000,42,07,39,347,47,08,42,069,47*7F
(Aug 20 2018 21:46:47,  863830 sec) LogNmeaSentences()   $GPGSV,3,2,12,09,81,047,51,11,25,133,43,17,04,200,36,18,06,124,39*7A
(Aug 20 2018 21:46:48,  863831 sec) LogNmeaSentences()   $GPGSV,3,3,12,23,57,126,48,27,15,046,34,28,44,249,43,30,25,314,43*73
(Aug 20 2018 21:46:55,  863837 sec) LogNmeaSentences()   $GPRMC,214640,A,1532.3848,N,06630.4252,E,000.8,263.4,200818,000.8,W*61
(Aug 20 2018 21:46:56,  863838 sec) LogNmeaSentences()   $GPGGA,214640,1532.3848,N,06630.4252,E,1,08,1.0,-4.5,M,-68.4,M,,*45
(Aug 20 2018 21:46:56,  863839 sec) LogNmeaSentences()   $GPGSA,A,3,,,07,08,09,11,,,23,27,28,30,1.3,1.0,0.9*33
(Aug 20 2018 21:46:57,  863839 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,06,147,41,03,00,000,43,07,39,347,46,08,42,069,46*70
(Aug 20 2018 21:46:57,  863840 sec) LogNmeaSentences()   $GPGSV,3,2,12,09,81,047,50,11,25,133,42,17,04,200,33,18,06,123,42*74
(Aug 20 2018 21:46:58,  863841 sec) LogNmeaSentences()   $GPGSV,3,3,12,23,57,126,49,27,15,046,30,28,44,249,46,30,25,314,45*75
(Aug 20 2018 21:47:05,  863848 sec) LogNmeaSentences()   $GPRMC,214650,A,1532.3845,N,06630.4271,E,001.4,087.7,200818,000.8,W*6A
(Aug 20 2018 21:47:06,  863848 sec) LogNmeaSentences()   $GPGGA,214650,1532.3845,N,06630.4271,E,1,08,1.0,-3.7,M,-68.4,M,,*4D
(Aug 20 2018 21:47:06,  863849 sec) LogNmeaSentences()   $GPGSA,A,3,,,07,08,09,11,,,23,27,28,30,1.3,1.0,0.9*33
(Aug 20 2018 21:47:07,  863849 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,06,147,25,03,00,000,26,07,39,347,30,08,42,069,31*70
(Aug 20 2018 21:47:07,  863850 sec) LogNmeaSentences()   $GPGSV,3,2,12,09,81,047,32,11,25,133,27,17,04,200,27,18,06,123,25*77
(Aug 20 2018 21:47:08,  863851 sec) LogNmeaSentences()   $GPGSV,3,3,12,23,57,126,28,27,15,046,28,28,44,249,29,30,25,314,28*79
(Aug 20 2018 21:47:15,  863857 sec) LogNmeaSentences()   $GPRMC,214700,A,1532.3840,N,06630.4310,E,001.5,016.3,200818,000.8,W*60
(Aug 20 2018 21:47:16,  863858 sec) LogNmeaSentences()   $GPGGA,214700,1532.3840,N,06630.4310,E,1,08,1.0,-4.9,M,-68.4,M,,*43
(Aug 20 2018 21:47:16,  863859 sec) LogNmeaSentences()   $GPGSA,A,3,,07,08,09,11,,23,27,28,30,,,1.3,1.0,0.9*33
(Aug 20 2018 21:47:17,  863859 sec) LogNmeaSentences()   $GPGSV,3,1,12,03,00,000,25,07,39,348,23,08,42,069,27,09,81,047,29*73
(Aug 20 2018 21:47:17,  863860 sec) LogNmeaSentences()   $GPGSV,3,2,12,11,25,133,28,18,06,123,25,23,57,126,32,27,15,046,23*7A
(Aug 20 2018 21:47:18,  863861 sec) LogNmeaSentences()   $GPGSV,3,3,12,28,44,249,24,30,25,314,21,01,06,147,00,17,04,201,00*7C
(Aug 20 2018 21:47:19,  863861 sec) LogNmeaSentences()   $PGRMT,GPS 15x-L software ver. 4.00,,,,,,,,*73
