(Oct 04 2016 12:49:14,    8196 sec) AirSystem()          Air-bladder inflation by-passed. Barometer: [125cnt, 6.2"Hg].
(Oct 04 2016 12:50:39,    8281 sec) GetSurfaceObs()      P/O2,T2,TPhase,RPhase,RawTemp/FSig,BbSig,TSig: 0.0dbars / 238.6uM 26.701C 29.283 8.985 56.850 / 136,238,534
(Oct 04 2016 12:50:50,    8292 sec) GpsServices()        GPS almanac is current.
(Oct 04 2016 12:50:50,    8292 sec) GpsServices()        Initiating GPS fix acquisition.
(Oct 04 2016 12:51:05,    8307 sec) gga()                $GPGGA,125050,1605.0000,N,06354.7318,E,0,00,,,M,,M,,*55
(Oct 04 2016 12:51:48,    8350 sec) gga()                $GPGGA,125100,1604.8059,N,06354.9236,E,1,08,0.9,10.9,M,-60.7,M,,*5D
(Oct 04 2016 12:51:48,    8350 sec) GpsServices()        Profile 0 GPS fix obtained in 58 seconds.
(Oct 04 2016 12:51:48,    8350 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Oct 04 2016 12:51:48,    8351 sec) GpsServices()        Fix:   63.915  16.080 10/04/2016 125100    8
(Oct 04 2016 12:52:35,    8398 sec) gga()                $GPGGA,125150,1604.8001,N,06354.9284,E,1,08,0.9,9.0,M,-60.7,M,,*6D
(Oct 04 2016 12:52:43,    8405 sec) gga()                $GPGGA,125240,1604.7946,N,06354.9321,E,1,10,0.8,2.8,M,-60.7,M,,*6F
(Oct 04 2016 12:52:44,    8406 sec) GpsServices()        APF9 RTC skew (3s) OK.
(Oct 04 2016 12:52:44,    8406 sec) GpsServices()        GPS services complete.
(Oct 04 2016 12:53:17,    8439 sec) CLogin()             Connecting to primary host.
(Oct 04 2016 12:53:33,    8455 sec) CLogin()             Connection 1 established in 16 seconds.
(Oct 04 2016 12:53:46,    8468 sec) login()              Login successful.
(Oct 04 2016 12:53:49,    8471 sec) CLogin()             Logged in to host.  [Login required 16 seconds]
(Oct 04 2016 12:54:01,    8483 sec) RxConfig()           Downloading "mission.cfg" from host.
(Oct 04 2016 12:54:04,    8486 sec) Rx()                 Initiating transfer. [0x43]
(Oct 04 2016 12:54:09,    8491 sec) Rx()                 Truncated packet received - retrying.
(Oct 04 2016 12:54:11,    8493 sec) RxStartByte()        Sync errors encountered: 905
(Oct 04 2016 12:54:15,    8497 sec) Rx()                 Truncated packet received - retrying.
(Oct 04 2016 12:54:17,    8499 sec) RxStartByte()        Sync errors encountered: 409
(Oct 04 2016 12:54:21,    8503 sec) Rx()                 Pad character [0x1a] found in ascii mode - truncating packet.
(Oct 04 2016 12:54:26,    8508 sec) Rx()                 Received EOT - transfer complete. [1 packets, 1024 bytes, 22 sec, 46.5 bps]
(Oct 04 2016 12:54:26,    8508 sec) RxConfig()           Download successful.
(Oct 04 2016 12:54:49,    8531 sec) WriteVitals()        Writing vitals to "7827.1610041249".
(Oct 04 2016 12:54:54,    8536 sec) UpLoadFile()         Uploading "7827.1610041249" to host as "7827.1610041249".
(Oct 04 2016 12:54:57,    8539 sec) Tx()                 CRC negotiation successful. [16-bit CRC]
(Oct 04 2016 12:55:08,    8550 sec) Tx()                 Transmission completed successfully [1 packets, 800 bytes, 10 sec, 102.4 bps]
(Oct 04 2016 12:55:08,    8551 sec) UpLoadFile()         Upload successful.
(Oct 04 2016 12:55:17,    8559 sec) UpLoadFile()         Uploading "7827.1610041202.log" to host as "7827.1610041202.log".
(Oct 04 2016 12:55:20,    8562 sec) Tx()                 CRC negotiation successful. [16-bit CRC]
(Oct 04 2016 12:56:08,    8610 sec) TxPacket()           NAK received - resending packet. [PktNum=0x07]
(Oct 04 2016 12:56:08,    8610 sec) TxPacket()           Packet xmit history: [00000001] (0:ok, 1:fail).
(Oct 04 2016 12:56:26,    8628 sec) TxPacket()           NAK received - resending packet. [PktNum=0x09]
(Oct 04 2016 12:56:26,    8628 sec) TxPacket()           Packet xmit history: [00001001] (0:ok, 1:fail).
