(Oct 04 2016 14:28:09,   14131 sec) AirSystem()          Air-bladder inflation by-passed. Barometer: [126cnt, 6.5"Hg].
(Oct 04 2016 14:29:02,   14184 sec) GetSurfaceObs()      P/O2,T2,TPhase,RPhase,RawTemp/FSig,BbSig,TSig: 0.1dbars / 236.8uM 26.759C 29.347 8.920 55.008 / 149,242,534
(Oct 04 2016 14:29:13,   14195 sec) GpsServices()        GPS almanac is current.
(Oct 04 2016 14:29:13,   14195 sec) GpsServices()        Initiating GPS fix acquisition.
(Oct 04 2016 14:30:06,   14249 sec) gga()                $GPGGA,142920,1604.1977,N,06355.5278,E,1,11,0.6,-7.6,M,-60.7,M,,*4E
(Oct 04 2016 14:30:07,   14249 sec) GpsServices()        Profile 0 GPS fix obtained in 54 seconds.
(Oct 04 2016 14:30:07,   14249 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Oct 04 2016 14:30:07,   14249 sec) GpsServices()        Fix:   63.925  16.070 10/04/2016 142920   11
(Oct 04 2016 14:30:56,   14298 sec) gga()                $GPGGA,143010,1604.1930,N,06355.5325,E,1,11,0.6,-8.7,M,-60.7,M,,*41
(Oct 04 2016 14:31:03,   14305 sec) gga()                $GPGGA,143100,1604.1889,N,06355.5365,E,1,12,0.6,-11.3,M,-60.7,M,,*79
(Oct 04 2016 14:31:04,   14306 sec) GpsServices()        APF9 RTC skew (4s) OK.
(Oct 04 2016 14:31:04,   14306 sec) GpsServices()        GPS services complete.
(Oct 04 2016 14:31:37,   14339 sec) CLogin()             Connecting to primary host.
(Oct 04 2016 14:31:53,   14355 sec) CLogin()             Connection 1 established in 16 seconds.
(Oct 04 2016 14:32:03,   14365 sec) login()              Login successful.
(Oct 04 2016 14:32:08,   14370 sec) chat()               Expected string [cmd>] not received.
(Oct 04 2016 14:32:08,   14370 sec) login()              Attempt to set the command prompt failed.
(Oct 04 2016 14:32:09,   14371 sec) CLogin()             Logged in to host.  [Login required 16 seconds]
(Oct 04 2016 14:32:22,   14384 sec) RxConfig()           Downloading "mission.cfg" from host.
(Oct 04 2016 14:32:24,   14386 sec) Rx()                 Initiating transfer. [0x43]
(Oct 04 2016 14:32:30,   14392 sec) RxStartByte()        Sync errors encountered: 177
(Oct 04 2016 14:32:33,   14395 sec) Rx()                 Truncated packet received - retrying.
