(May 22 2022 21:37:00,  854010 sec) TelemetryInit()      Profile 244. (Apf9i FwRev: 061016)
(May 22 2022 21:44:33,  854462 sec) AirSystem()          Battery [142cnt, 11.0V]  Current [70cnt, 282.1mA]  Barometer [127cnt, 6.8"Hg]  Run-Time [63s]
(May 22 2022 21:45:18,  854507 sec) GetSurfaceObs()      P/O2,T2,TPhase,RPhase,RawTemp/FSig,BbSig,TSig: -0.8dbars / 223.2uM 28.474C 29.361 8.943 0.223 / 58,147,532
(May 22 2022 21:45:26,  854516 sec) GpsServices()        GPS almanac is current.
(May 22 2022 21:45:26,  854516 sec) GpsServices()        Initiating GPS fix acquisition.
(May 22 2022 21:45:50,  854540 sec) gga()                $GPGGA,214520,1904.7504,N,06008.5407,E,0,00,,,M,,M,,*5F
(May 22 2022 21:46:00,  854550 sec) gga()                $GPGGA,214530,1904.7504,N,06008.5407,E,0,00,,,M,,M,,*5E
(May 22 2022 21:46:13,  854563 sec) gga()                $GPGGA,214550,1904.7504,N,06008.5407,E,0,00,,,M,,M,,*58
(May 22 2022 21:46:24,  854574 sec) gga()                $GPGGA,214600,1904.7504,N,06008.5407,E,0,00,,,M,,M,,*5E
(May 22 2022 21:46:35,  854585 sec) gga()                $GPGGA,214610,1904.7504,N,06008.5407,E,0,00,,,M,,M,,*5F
(May 22 2022 21:46:46,  854596 sec) gga()                $GPGGA,214620,1904.7504,N,06008.5407,E,0,00,,,M,,M,,*5C
(May 22 2022 21:46:57,  854607 sec) gga()                $GPGGA,214630,1904.7504,N,06008.5407,E,0,00,,,M,,M,,*5D
(May 22 2022 21:48:25,  854695 sec) gga()                $GPGGA,214730,1947.3510,N,06042.5107,E,1,06,1.1,-0.7,M,-47.5,M,,*49
(May 22 2022 21:48:26,  854695 sec) GpsServices()        Profile 244 GPS fix obtained in 180 seconds.
(May 22 2022 21:48:26,  854696 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(May 22 2022 21:48:26,  854696 sec) GpsServices()        Fix:   60.709  19.789 05/22/2022 214730    6
(May 22 2022 21:49:15,  854745 sec) gga()                $GPGGA,214820,1947.3532,N,06042.5188,E,1,06,1.1,-6.2,M,-47.5,M,,*43
(May 22 2022 21:49:23,  854753 sec) gga()                $GPGGA,214910,1947.3563,N,06042.5268,E,1,06,1.1,-8.1,M,-47.5,M,,*45
(May 22 2022 21:49:23,  854753 sec) GpsServices()        APF9 RTC skew (13s) OK.
(May 22 2022 21:49:33,  854762 sec) LogNmeaSentences()   $GPRMC,214920,A,1947.3574,N,06042.5284,E,000.6,076.7,220522,000.4,E*7E
(May 22 2022 21:49:34,  854763 sec) LogNmeaSentences()   $GPGGA,214920,1947.3574,N,06042.5284,E,1,06,1.1,-7.4,M,-47.5,M,,*48
(May 22 2022 21:49:34,  854764 sec) LogNmeaSentences()   $GPGSA,A,3,,03,04,07,08,09,16,,,,,,1.5,1.1,0.9*39
(May 22 2022 21:49:35,  854764 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,05,181,28,03,64,178,44,04,52,022,46,07,35,275,43*76
(May 22 2022 21:49:35,  854765 sec) LogNmeaSentences()   $GPGSV,3,2,12,08,16,145,38,09,38,335,45,16,39,051,45,27,12,094,41*7F
(May 22 2022 21:49:36,  854766 sec) LogNmeaSentences()   $GPGSV,3,3,12,06,18,226,00,11,05,179,00,18,08,187,00,23,51,057,00*71
(May 22 2022 21:49:43,  854772 sec) LogNmeaSentences()   $GPRMC,214930,A,1947.3569,N,06042.5297,E,001.2,159.1,220522,000.4,E*7E
(May 22 2022 21:49:44,  854773 sec) LogNmeaSentences()   $GPGGA,214930,1947.3569,N,06042.5297,E,1,06,1.1,-7.9,M,-47.5,M,,*4A
(May 22 2022 21:49:44,  854774 sec) LogNmeaSentences()   $GPGSA,A,3,,03,04,07,08,09,16,,,,,,1.5,1.1,0.9*39
(May 22 2022 21:49:45,  854774 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,05,181,39,03,64,178,43,04,52,022,46,07,35,275,43*71
(May 22 2022 21:49:45,  854775 sec) LogNmeaSentences()   $GPGSV,3,2,12,08,16,145,38,09,38,335,43,16,39,051,45,27,12,094,38*77
(May 22 2022 21:49:46,  854776 sec) LogNmeaSentences()   $GPGSV,3,3,12,06,18,226,00,11,05,179,00,18,07,186,00,23,51,057,00*7F
(May 22 2022 21:49:53,  854782 sec) LogNmeaSentences()   $GPRMC,214940,A,1947.3571,N,06042.5317,E,000.0,153.7,220522,000.4,E*76
(May 22 2022 21:49:54,  854783 sec) LogNmeaSentences()   $GPGGA,214940,1947.3571,N,06042.5317,E,1,06,1.1,-7.6,M,-47.5,M,,*42
(May 22 2022 21:49:54,  854784 sec) LogNmeaSentences()   $GPGSA,A,3,,03,04,07,08,09,16,,,,,,1.5,1.1,0.9*39
(May 22 2022 21:49:55,  854784 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,05,181,35,03,64,178,47,04,52,023,45,07,35,275,42*7A
(May 22 2022 21:49:55,  854785 sec) LogNmeaSentences()   $GPGSV,3,2,12,08,16,145,39,09,38,335,43,16,39,051,45,27,12,094,42*7B
(May 22 2022 21:49:56,  854786 sec) LogNmeaSentences()   $GPGSV,3,3,12,06,18,226,00,11,05,179,00,18,07,186,00,23,51,057,00*7F
(May 22 2022 21:50:03,  854792 sec) LogNmeaSentences()   $GPRMC,214950,A,1947.3561,N,06042.5323,E,000.8,232.0,220522,000.4,E*7A
(May 22 2022 21:50:04,  854793 sec) LogNmeaSentences()   $GPGGA,214950,1947.3561,N,06042.5323,E,1,06,1.1,-7.6,M,-47.5,M,,*45
