(Mar 29 2015 14:52:18,    5653 sec) AirSystem()          Battery [185cnt, 14.3V]  Current [86cnt, 346.5mA]  Barometer [125cnt, 6.2"Hg]  Run-Time [62s]
(Mar 29 2015 14:53:11,    5706 sec) GetSurfaceObs()      P/O2,T2,TPhase,RPhase,RawTemp/FSig,BbSig,TSig: -0.4dbars / 394.2uM 1.112C 35.184 8.147 645.498 / 108,159,576
(Mar 29 2015 14:53:22,    5717 sec) GpsServices()        Replacing aged (184 days) almanac.
(Mar 29 2015 14:53:22,    5717 sec) UpLoadGpsAlmanac()   Pausing for 15 minutes to upload GPS almanac.
(Mar 29 2015 15:08:23,    6618 sec) UpLoadGpsAlmanac()   Pause complete.
(Mar 29 2015 15:08:23,    6618 sec) GpsServices()        New almanac acquired.
(Mar 29 2015 15:08:23,    6618 sec) GpsServices()        Initiating GPS fix acquisition.
(Mar 29 2015 15:09:06,    6661 sec) gga()                $GPGGA,150810,5400.6428,S,01800.0978,E,1,00,1.0,-7.3,M,29.6,M,,*71
(Mar 29 2015 15:09:49,    6704 sec) gga()                $GPGGA,150820,5400.6421,S,01800.0983,E,1,10,0.9,-0.4,M,29.6,M,,*76
(Mar 29 2015 15:09:49,    6704 sec) GpsServices()        Profile 0 GPS fix obtained in 86 seconds.
(Mar 29 2015 15:09:49,    6704 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Mar 29 2015 15:09:49,    6705 sec) GpsServices()        Fix:   18.002 -54.011 03/29/2015 150820   10
(Mar 29 2015 15:10:36,    6752 sec) gga()                $GPGGA,150940,5400.6516,S,01800.1091,E,1,11,0.8,-7.5,M,29.6,M,,*79
(Mar 29 2015 15:10:44,    6760 sec) gga()                $GPGGA,151030,5400.6585,S,01800.1168,E,1,11,0.8,1.1,M,29.6,M,,*54
(Mar 29 2015 15:10:45,    6760 sec) GpsServices()        APF9 RTC skew (15s) OK.
(Mar 29 2015 15:10:45,    6760 sec) GpsServices()        GPS services complete.
(Mar 29 2015 15:11:43,    6818 sec) CLogin()             Connecting to primary host.
(Mar 29 2015 15:11:54,    6829 sec) CLogin()             Connection 1 established in 11 seconds.
(Mar 29 2015 15:12:24,    6859 sec) expect()             Attempt to read prompt string [login:] failed.
(Mar 29 2015 15:12:24,    6859 sec) login()              Login prompt not received.
(Mar 29 2015 15:12:24,    6859 sec) login()              No carrier detected.
(Mar 29 2015 15:13:25,    6920 sec) chat()               Expected string [CONNECT] not received.
(Mar 29 2015 15:13:25,    6920 sec) modem_connect()      Modem command [AT+CBST=71,0,1;DT0088160000573] failed.
(Mar 29 2015 15:13:25,    6920 sec) connect()            Connection attempt failed.
(Mar 29 2015 15:13:25,    6920 sec) CLogin()             Attempt to connect to primary host failed after 2 tries.  Connecting to alternate host.
(Mar 29 2015 15:13:48,    6943 sec) CLogin()             Connection 2 established in 125 seconds.
(Mar 29 2015 15:14:30,    6985 sec) expect()             Attempt to read prompt string [Password:] failed.
(Mar 29 2015 15:14:30,    6985 sec) login()              Password prompt not received.
(Mar 29 2015 15:14:30,    6985 sec) login()              No carrier detected.
(Mar 29 2015 15:14:53,    7008 sec) CLogin()             Connection 3 established in 190 seconds.
(Mar 29 2015 15:15:37,    7052 sec) expect()             Attempt to read prompt string [Password:] failed.
(Mar 29 2015 15:15:37,    7052 sec) login()              Password prompt not received.
(Mar 29 2015 15:15:37,    7052 sec) login()              No carrier detected.
(Mar 29 2015 15:15:37,    7052 sec) CLogin()             Attempt to connect to primary and alternate hosts failed - aborting.
(Mar 29 2015 15:15:38,    7053 sec) DownLoadMissionCfg(  Connect/login failed.  Mission configuration not downloaded from remote host.
(Mar 29 2015 15:15:44,    7059 sec) CLogin()             Connecting to primary host.
(Mar 29 2015 15:15:59,    7074 sec) CLogin()             Connection 4 established in 16 seconds.
(Mar 29 2015 15:16:29,    7104 sec) expect()             Attempt to read prompt string [login:] failed.
(Mar 29 2015 15:16:29,    7104 sec) login()              Login prompt not received.
(Mar 29 2015 15:16:29,    7104 sec) login()              No carrier detected.
(Mar 29 2015 15:16:44,    7120 sec) CLogin()             Connection 5 established in 61 seconds.
(Mar 29 2015 15:17:15,    7150 sec) expect()             Attempt to read prompt string [login:] failed.
(Mar 29 2015 15:17:15,    7150 sec) login()              Login prompt not received.
(Mar 29 2015 15:17:15,    7150 sec) login()              No carrier detected.
