(Nov 27 2014 16:44:59,     724 sec) SelfTest()           Executing self-test for ApfId 9567.
(Nov 27 2014 16:45:00,     724 sec) PistonMoveAbsWTO()    227->223 226 225 224 223 [18sec, 14.8Volts, 0.173Amps, CPT:18sec]
(Nov 27 2014 16:45:17,     742 sec) PistonMoveAbsWTO()    223->227 224 225 226 227 [18sec, 14.8Volts, 0.145Amps, CPT:36sec]
(Nov 27 2014 16:45:35,     760 sec) SelfTest()           Passed: Timed piston movements from 227 to 223 counts and back.
(Nov 27 2014 16:45:38,     763 sec) SelfTest()           Passed: internal pressure [86, -5.0"Hg] less than threshold [96, -2.1"Hg].
(Nov 27 2014 16:45:39,     764 sec) SelfTest()           Passed: FLASH file system has been initialized.
(Nov 27 2014 16:45:42,     767 sec) SelfTest()           Passed: FLASH file system has been reformatted.
(Nov 27 2014 16:45:44,     769 sec) SelfTest()           Passed: Response received from SBE41cp.
(Nov 27 2014 16:45:51,     775 sec) SelfTest()           Passed: Sbe41cp SerNo: 5994
(Nov 27 2014 16:46:05,     790 sec) SelfTest()           Passed: SBE41cp (SerNo 5994) FwRev accepted: [2.0]
(Nov 27 2014 16:46:14,     799 sec) Sbe41cpConfig()      Configuration successful.
(Nov 27 2014 16:46:23,     807 sec) Sbe41cpTsWait()      Configuration successful.
(Nov 27 2014 16:46:27,     811 sec) SelfTest()           Passed: SBE41cp configuration was successful.
(Nov 27 2014 16:46:27,     812 sec) SelfTest()           Passed: LBT model: 9522B
(Nov 27 2014 16:46:28,     813 sec) SelfTest()           Warning: Unexpected LBT firmare: [ST10001] != [ST09005] (expected).
(Nov 27 2014 16:46:29,     814 sec) IrModemConfigure()   Modem configured for fixed (19200) baud rate.
(Nov 27 2014 16:46:30,     814 sec) IrModemConfigure()   Configuration saved to modem's NVRAM.
(Nov 27 2014 16:46:30,     814 sec) IrModemConfigure()   Modem configuration successful.
(Nov 27 2014 16:46:30,     815 sec) SelfTest()           Passed: LBT configuration was successful.
(Nov 27 2014 16:46:31,     816 sec) SelfTest()           Passed: LBT IMEI: 300025010048880
(Nov 27 2014 16:46:38,     823 sec) SelfTest()           Passed: SIM card ICCID:8988169224001047415  MSISDN:881692403655
(Nov 27 2014 16:46:40,     824 sec) ConfigGarmin15()     Garmin GPS15 configuration initiated.
(Nov 27 2014 16:46:47,     831 sec) ConfigGarmin15()     Garmin GPS15 successfully configured.
(Nov 27 2014 16:46:48,     833 sec) PActivateInit()      Self-test passed - initiating six 4-second squawks.
(Nov 27 2014 16:47:41,     885 sec) PActivateInit()      Pressure activation mode initiated. [itime=833]
