(Jun 08 2017 10:23:48,  846404 sec) TelemetryInit()      Profile 95. (Apf9i FwRev: 012811)
(Jun 08 2017 10:30:52,  846827 sec) AirSystem()          Battery [189cnt, 14.7V]  Current [81cnt, 32.6mA]  Barometer [128cnt, 7.1"Hg]  Run-Time [51s]
(Jun 08 2017 10:31:52,  846887 sec) GpsServices()        GPS almanac is current.
(Jun 08 2017 10:31:52,  846887 sec) GpsServices()        Initiating GPS fix acquisition.
(Jun 08 2017 10:32:05,  846901 sec) gga()                $GPGGA,103150,1331.0703,N,08555.8956,E,0,00,,,M,,M,,*50
(Jun 08 2017 10:32:14,  846910 sec) gga()                $GPGGA,103140,1331.0703,N,08555.8956,E,0,00,,,M,,M,,*51
(Jun 08 2017 10:32:24,  846920 sec) gga()                $GPGGA,103150,1331.0703,N,08555.8956,E,0,00,,,M,,M,,*50
(Jun 08 2017 10:32:34,  846930 sec) gga()                $GPGGA,103200,1331.0703,N,08555.8956,E,0,00,,,M,,M,,*56
(Jun 08 2017 10:32:44,  846940 sec) gga()                $GPGGA,103210,1331.0703,N,08555.8956,E,0,00,,,M,,M,,*57
(Jun 08 2017 10:32:54,  846950 sec) gga()                $GPGGA,103220,1331.0703,N,08555.8956,E,0,00,,,M,,M,,*54
(Jun 08 2017 10:33:04,  846960 sec) gga()                $GPGGA,103230,1331.0703,N,08555.8956,E,0,00,,,M,,M,,*55
(Jun 08 2017 10:33:14,  846970 sec) gga()                $GPGGA,103240,1331.0703,N,08555.8956,E,0,00,,,M,,M,,*52
(Jun 08 2017 10:33:24,  846980 sec) gga()                $GPGGA,103250,1331.0703,N,08555.8956,E,0,00,,,M,,M,,*53
(Jun 08 2017 10:33:34,  846990 sec) gga()                $GPGGA,103300,1331.0703,N,08555.8956,E,0,00,,,M,,M,,*57
(Jun 08 2017 10:33:44,  847000 sec) gga()                $GPGGA,103310,1331.0703,N,08555.8956,E,0,00,,,M,,M,,*56
(Jun 08 2017 10:34:04,  847020 sec) gga()                $GPGGA,103330,1331.0703,N,08555.8956,E,0,00,,,M,,M,,*54
(Jun 08 2017 10:34:14,  847030 sec) gga()                $GPGGA,103340,1331.0703,N,08555.8956,E,0,00,,,M,,M,,*53
(Jun 08 2017 10:34:24,  847040 sec) gga()                $GPGGA,103350,1331.0703,N,08555.8956,E,0,00,,,M,,M,,*52
(Jun 08 2017 10:34:34,  847050 sec) gga()                $GPGGA,103400,1331.0703,N,08555.8956,E,0,00,,,M,,M,,*50
(Jun 08 2017 10:34:44,  847060 sec) gga()                $GPGGA,103410,1331.0703,N,08555.8956,E,0,00,,,M,,M,,*51
(Jun 08 2017 10:34:54,  847070 sec) gga()                $GPGGA,103420,1331.0703,N,08555.8956,E,0,00,,,M,,M,,*52
(Jun 08 2017 10:35:04,  847080 sec) gga()                $GPGGA,103430,1331.0703,N,08555.8956,E,0,00,,,M,,M,,*53
(Jun 08 2017 10:35:14,  847090 sec) gga()                $GPGGA,103440,1331.0703,N,08555.8956,E,0,00,,,M,,M,,*54
(Jun 08 2017 10:35:24,  847100 sec) gga()                $GPGGA,103450,1331.0703,N,08555.8956,E,0,00,,,M,,M,,*55
(Jun 08 2017 10:35:34,  847110 sec) gga()                $GPGGA,103500,1331.0703,N,08555.8956,E,0,00,,,M,,M,,*51
(Jun 08 2017 10:35:44,  847120 sec) gga()                $GPGGA,103510,1331.0703,N,08555.8956,E,0,00,,,M,,M,,*50
(Jun 08 2017 10:35:54,  847130 sec) gga()                $GPGGA,103520,1331.0703,N,08555.8956,E,0,00,,,M,,M,,*53
(Jun 08 2017 10:36:22,  847158 sec) gga()                $GPGGA,103530,1322.8296,N,08611.5439,E,1,09,0.8,12.1,M,-77.0,M,,*5A
(Jun 08 2017 10:36:23,  847158 sec) GpsServices()        Profile 95 GPS fix obtained in 271 seconds.
(Jun 08 2017 10:36:23,  847158 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Jun 08 2017 10:36:23,  847159 sec) GpsServices()        Fix:   86.192  13.380 06/08/2017 103530    9
(Jun 08 2017 10:36:52,  847188 sec) gga()                $GPGGA,103600,1322.8210,N,08611.5381,E,1,06,1.0,6.6,M,-77.0,M,,*64
(Jun 08 2017 10:37:01,  847197 sec) gga()                $GPGGA,103630,1322.8120,N,08611.5269,E,1,02,1.1,-4.9,M,-77.0,M,,*45
(Jun 08 2017 10:37:01,  847197 sec) GpsServices()        Excessive RTC skew (31s) detected.  Resetting Apf9's RTC to Thu Jun  8 10:36:30 2017
(Jun 08 2017 10:36:31,  847197 sec) GpsServices()        Apf9's RTC now reads Thu Jun  8 10:36:31 2017
(Jun 08 2017 10:36:40,  847207 sec) LogNmeaSentences()   $GPRMC,103640,A,1322.8113,N,08611.5266,E,000.0,243.8,080617,001.4,W*64
(Jun 08 2017 10:36:41,  847207 sec) LogNmeaSentences()   $GPGGA,103640,1322.8113,N,08611.5266,E,1,09,0.9,-1.4,M,-77.0,M,,*47
(Jun 08 2017 10:36:41,  847208 sec) LogNmeaSentences()   $GPGSA,A,3,02,05,06,12,13,17,19,24,28,,,,1.3,0.9,0.9*32
(Jun 08 2017 10:36:41,  847208 sec) LogNmeaSentences()   $GPGSV,3,1,09,02,55,292,47,05,34,190,45,06,45,009,47,12,23,329,46*74
(Jun 08 2017 10:36:42,  847208 sec) LogNmeaSentences()   $GPGSV,3,2,09,13,05,202,36,17,25,056,45,19,33,034,47,24,25,279,45*70
(Jun 08 2017 10:36:42,  847209 sec) LogNmeaSentences()   $GPGSV,3,3,09,28,30,131,43*4D
(Jun 08 2017 10:36:50,  847217 sec) LogNmeaSentences()   $GPRMC,103650,A,1322.8099,N,08611.5271,E,003.2,184.9,080617,001.4,W*68
(Jun 08 2017 10:36:51,  847217 sec) LogNmeaSentences()   $GPGGA,103650,1322.8099,N,08611.5271,E,1,09,0.8,-2.3,M,-77.0,M,,*46
(Jun 08 2017 10:36:51,  847218 sec) LogNmeaSentences()   $GPGSA,A,3,02,05,06,12,13,17,19,24,28,,,,1.2,0.8,0.9*32
(Jun 08 2017 10:36:51,  847218 sec) LogNmeaSentences()   $GPGSV,3,1,09,02,55,292,46,05,34,190,47,06,45,009,48,12,23,329,46*78
(Jun 08 2017 10:36:52,  847218 sec) LogNmeaSentences()   $GPGSV,3,2,09,13,05,202,41,17,25,056,47,19,33,034,47,24,25,279,44*73
(Jun 08 2017 10:36:52,  847219 sec) LogNmeaSentences()   $GPGSV,3,3,09,28,30,131,44*4A
(Jun 08 2017 10:37:00,  847227 sec) LogNmeaSentences()   $GPRMC,103700,A,1322.8053,N,08611.5258,E,000.0,195.2,080617,001.4,W*6B
(Jun 08 2017 10:37:01,  847227 sec) LogNmeaSentences()   $GPGGA,103700,1322.8053,N,08611.5258,E,1,09,0.8,-3.0,M,-77.0,M,,*4D
(Jun 08 2017 10:37:01,  847228 sec) LogNmeaSentences()   $GPGSA,A,3,02,05,06,12,13,17,19,24,28,,,,1.2,0.8,0.9*32
(Jun 08 2017 10:37:01,  847228 sec) LogNmeaSentences()   $GPGSV,3,1,09,02,55,292,45,05,34,190,47,06,45,009,49,12,23,329,43*7F
(Jun 08 2017 10:37:02,  847228 sec) LogNmeaSentences()   $GPGSV,3,2,09,13,05,202,32,17,25,056,45,19,33,034,44,24,25,279,44*76
(Jun 08 2017 10:37:02,  847229 sec) LogNmeaSentences()   $GPGSV,3,3,09,28,30,131,45*4B
