(Oct 14 2017 14:32:45,  846106 sec) TelemetryInit()      Profile 108. (Apf9i FwRev: 012811)
(Oct 14 2017 14:39:50,  846532 sec) AirSystem()          Battery [188cnt, 14.6V]  Current [79cnt, 31.8mA]  Barometer [128cnt, 7.1"Hg]  Run-Time [52s]
(Oct 14 2017 14:40:19,  846560 sec) GpsServices()        GPS almanac is current.
(Oct 14 2017 14:40:19,  846560 sec) GpsServices()        Initiating GPS fix acquisition.
(Oct 14 2017 14:40:36,  846578 sec) gga()                $GPGGA,144020,1220.7812,N,08705.4029,E,0,00,,,M,,M,,*56
(Oct 14 2017 14:40:43,  846584 sec) gga()                $GPGGA,144010,1220.7812,N,08705.4029,E,0,00,,,M,,M,,*55
(Oct 14 2017 14:40:51,  846593 sec) gga()                $GPGGA,144020,1220.7812,N,08705.4029,E,0,00,,,M,,M,,*56
(Oct 14 2017 14:41:01,  846603 sec) gga()                $GPGGA,144030,1220.7812,N,08705.4029,E,0,00,,,M,,M,,*57
(Oct 14 2017 14:41:11,  846613 sec) gga()                $GPGGA,144040,1220.7812,N,08705.4029,E,0,00,,,M,,M,,*50
(Oct 14 2017 14:41:21,  846623 sec) gga()                $GPGGA,144050,1220.7812,N,08705.4029,E,0,00,,,M,,M,,*51
(Oct 14 2017 14:41:31,  846633 sec) gga()                $GPGGA,144100,1220.7812,N,08705.4029,E,0,00,,,M,,M,,*55
(Oct 14 2017 14:42:00,  846661 sec) gga()                $GPGGA,144110,1211.7153,N,08707.8043,E,1,10,0.7,3.6,M,-75.8,M,,*63
(Oct 14 2017 14:42:00,  846662 sec) GpsServices()        Profile 108 GPS fix obtained in 101 seconds.
(Oct 14 2017 14:42:00,  846662 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Oct 14 2017 14:42:00,  846662 sec) GpsServices()        Fix:   87.130  12.195 10/14/2017 144110   10
(Oct 14 2017 14:42:30,  846691 sec) gga()                $GPGGA,144140,1211.7090,N,08707.8132,E,1,11,0.8,-0.1,M,-75.8,M,,*48
(Oct 14 2017 14:42:36,  846697 sec) gga()                $GPGGA,144210,1211.7010,N,08707.8253,E,1,01,0.8,-4.0,M,-75.8,M,,*46
(Oct 14 2017 14:42:36,  846697 sec) GpsServices()        APF9 RTC skew (26s) OK.
(Oct 14 2017 14:42:36,  846697 sec) LogNmeaSentences()   00,22,45,315,00,23,01,308,00*78
(Oct 14 2017 14:42:36,  846698 sec) LogNmeaSentences()   $GPGSV,3,3,12,26,75,095,00,27,13,173,00,31,34,016,00,32,30,073,00*76
(Oct 14 2017 14:42:46,  846707 sec) LogNmeaSentences()   $GPRMC,144220,A,1211.6985,N,08707.8284,E,001.7,106.0,141017,001.4,W*6C
(Oct 14 2017 14:42:46,  846707 sec) LogNmeaSentences()   $GPGGA,144220,1211.6985,N,08707.8284,E,1,10,0.8,-8.6,M,-75.8,M,,*41
