(Apr 09 2018 09:07:21,  846490 sec) TelemetryInit()      Profile 126. (Apf9i FwRev: 012811)
(Apr 09 2018 09:14:54,  846943 sec) AirSystem()          Battery [154cnt, 11.9V]  Current [73cnt, 29.4mA]  Barometer [127cnt, 6.8"Hg]  Run-Time [64s]
(Apr 09 2018 09:15:22,  846971 sec) GpsServices()        GPS almanac is current.
(Apr 09 2018 09:15:22,  846971 sec) GpsServices()        Initiating GPS fix acquisition.
(Apr 09 2018 09:15:31,  846980 sec) gga()                $GPGGA,091510,1325.9917,N,08433.0644,E,0,00,,,M,,M,,*58
(Apr 09 2018 09:15:41,  846990 sec) gga()                $GPGGA,091520,1325.9917,N,08433.0644,E,0,00,,,M,,M,,*5B
(Apr 09 2018 09:15:47,  846996 sec) gga()                $GPGGA,091510,1325.9917,N,08433.0644,E,0,00,,,M,,M,,*58
(Apr 09 2018 09:15:55,  847004 sec) gga()                $GPGGA,091520,1325.9917,N,08433.0644,E,0,00,,,M,,M,,*5B
(Apr 09 2018 09:16:05,  847014 sec) gga()                $GPGGA,091530,1325.9917,N,08433.0644,E,0,00,,,M,,M,,*5A
(Apr 09 2018 09:16:15,  847024 sec) gga()                $GPGGA,091540,1325.9917,N,08433.0644,E,0,00,,,M,,M,,*5D
(Apr 09 2018 09:16:25,  847034 sec) gga()                $GPGGA,091550,1325.9917,N,08433.0644,E,0,00,,,M,,M,,*5C
(Apr 09 2018 09:16:54,  847063 sec) gga()                $GPGGA,091600,1351.5197,N,08437.1387,E,1,10,0.9,-6.4,M,-80.1,M,,*46
(Apr 09 2018 09:16:54,  847063 sec) GpsServices()        Profile 126 GPS fix obtained in 92 seconds.
(Apr 09 2018 09:16:54,  847063 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Apr 09 2018 09:16:54,  847063 sec) GpsServices()        Fix:   84.619  13.859 04/09/2018 091600   10
(Apr 09 2018 09:17:24,  847093 sec) gga()                $GPGGA,091630,1351.5148,N,08437.1467,E,1,11,0.9,-9.4,M,-80.1,M,,*40
(Apr 09 2018 09:17:29,  847098 sec) gga()                $GPGGA,091700,1351.5064,N,08437.1560,E,1,10,0.9,-8.0,M,-80.1,M,,*4F
(Apr 09 2018 09:17:29,  847099 sec) GpsServices()        APF9 RTC skew (29s) OK.
(Apr 09 2018 09:17:30,  847099 sec) LogNmeaSentences()   ,036,44,09,31,186,41,11,47,054,46,17,47,246,46*71
(Apr 09 2018 09:17:30,  847099 sec) LogNmeaSentences()   $GPGSV,3,3,12,18,28,060,45,19,27,232,38,23,04,159,37,28,34,335,41*7A
