20250418T190700|0|Firmware|12/04/18 17:42:38 2.12.2.1 STD Final
20250418T190700|0|Username| f8673
20250418T190700|0|Float ID| 029-0319
20250418T190700|5|archive_log_type|Archived: \archive\029-0319.189.20250418T190656.science_log.bin.gz
20250418T190703|5|archive_log_type|Archived: \archive\029-0319.189.20250418T190702.vitals_log.bin.gz
20250418T190705|5|upload_system_log|Archived: \archive\029-0319.189.20250418T190702.system_log.txt.gz
20250418T190924|5|network_quality|Modem Quality = 5
20250418T191348|5|connect|Received CONNECT
20250418T192150|3|network_reg|Modem Registration Failed: 12 tries
20250418T192150|4|transfer|No Signal.CSQ:0
20250418T192155|5|SURFACE|Inflating air bladder
20250418T192155|5|inflate_once|Air engine started.
20250418T192157|5|air_engine_task|Air engine destination reached: 12.9 >= 12.0
20250418T192414|3|network_reg|Modem Registration Failed: 12 tries
20250418T192414|4|sky_search|No sky
20250418T192416|5|start|Starting pot count: 3175
20250418T192417|5|BuoyEngine|Adjusting Buoyancy to 3476
20250418T192417|5|BuoyEngine|Buoyancy Start Position: 3176
20250418T192417|5|BuoyEngine|Buoyancy Position: 3180 @ 0 sec
20250418T192437|5|BuoyEngine|Buoyancy Position: 3244 @ 20 sec
20250418T192457|5|BuoyEngine|Buoyancy Position: 3303 @ 40 sec
20250418T192517|5|BuoyEngine|Buoyancy Position: 3369 @ 60 sec
20250418T192537|5|BuoyEngine|Buoyancy Position: 3428 @ 80 sec
20250418T192551|5|BuoyEngine|Buoyancy engine stopped.
20250418T192552|5|BuoyEngine|Buoyancy engine destination 3474 reached after 01:34 .
20250418T193658|5|SURFACE|Inflating air bladder
20250418T193658|5|inflate_once|Air engine started.
20250418T193700|5|air_engine_task|Air engine destination reached: 12.9 >= 12.0
20250418T193917|3|network_reg|Modem Registration Failed: 12 tries
20250418T193917|4|sky_search|No sky
20250418T193917|4|BuoyEngine|Requested buoyancy position 3774 too large. Changing request to max: 3700
20250418T193919|5|start|Starting pot count: 3475
20250418T193920|5|BuoyEngine|Adjusting Buoyancy to 3700
20250418T193920|5|BuoyEngine|Buoyancy Start Position: 3473
20250418T193920|5|BuoyEngine|Buoyancy Position: 3476 @ 0 sec
20250418T193940|5|BuoyEngine|Buoyancy Position: 3535 @ 20 sec
20250418T194000|5|BuoyEngine|Buoyancy Position: 3599 @ 40 sec
20250418T194020|5|BuoyEngine|Buoyancy Position: 3661 @ 60 sec
