(May 25 2011 13:11:40,    2127 sec) AirSystem()          Air-bladder inflation by-passed. Barometer: [129cnt, 7.4"Hg].
(May 25 2011 13:12:12,    2159 sec) GpsServices()        GPS almanac is current.
(May 25 2011 13:12:12,    2159 sec) GpsServices()        Initiating GPS fix acquisition.
(May 25 2011 13:12:28,    2175 sec) gga()                $GPGGA,131224,0021.0433,S,08128.7165,E,0,00,,,M,,M,,*46
(May 25 2011 13:12:53,    2200 sec) gga()                $GPGGA,131230,0023.8709,S,08128.4876,E,1,07,1.5,9.4,M,-95.3,M,,*78
(May 25 2011 13:12:53,    2200 sec) GpsServices()        Profile 0 GPS fix obtained in 41 seconds.
(May 25 2011 13:12:53,    2200 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(May 25 2011 13:12:53,    2200 sec) GpsServices()        Fix:   81.475  -0.398 05/25/2011 131230    7
(May 25 2011 13:13:23,    2230 sec) gga()                $GPGGA,131300,0023.9326,S,08128.4816,E,1,08,1.2,5.2,M,-95.3,M,,*76
(May 25 2011 13:13:28,    2236 sec) gga()                $GPGGA,131330,0023.9940,S,08128.4769,E,1,10,0.8,4.4,M,-95.3,M,,*7D
(May 25 2011 13:13:29,    2236 sec) GpsServices()        APF9 RTC skew (-1s) OK.
(May 25 2011 13:13:29,    2236 sec) LogNmeaSentences()   1.7,M,13.6,M*2A
(May 25 2011 13:13:29,    2236 sec) LogNmeaSentences()   $PGRMT,GPS 15-L Ver. 4.40,P,P,R,R,P,,,R,P*7E
(May 25 2011 13:13:29,    2236 sec) LogNmeaSentences()   $PGRMB,0.0,200,,,,K,,N,N*31
(May 25 2011 13:13:29,    2237 sec) LogNmeaSentences()   $PGRMM,WGS 84*06
(May 25 2011 13:13:38,    2245 sec) LogNmeaSentences()   $GPRMC,131340,A,0024.0142,S,08128.4749,E,007.1,183.5,250511,004.0,W*7E
