(Jan 12 2016 01:14:05,   14338 sec) AirSystem()          Air-bladder inflation by-passed. Barometer: [127cnt, 6.8"Hg].
(Jan 12 2016 01:14:44,   14376 sec) GpsServices()        GPS almanac is current.
(Jan 12 2016 01:14:44,   14377 sec) GpsServices()        Initiating GPS fix acquisition.
(Jan 12 2016 01:14:54,   14387 sec) gga()                $GPGGA,011430,1430.1384,N,08523.6339,E,0,00,,,M,,M,,*51
(Jan 12 2016 01:15:22,   14415 sec) gga()                $GPGGA,011440,1430.1525,N,08523.3211,E,1,11,0.8,-8.7,M,-77.4,M,,*49
(Jan 12 2016 01:15:23,   14415 sec) GpsServices()        Profile 0 GPS fix obtained in 39 seconds.
(Jan 12 2016 01:15:23,   14415 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Jan 12 2016 01:15:23,   14415 sec) GpsServices()        Fix:   85.389  14.503 01/12/2016 011440   11
(Jan 12 2016 01:15:52,   14445 sec) gga()                $GPGGA,011510,1430.1528,N,08523.3135,E,1,11,0.8,-8.2,M,-77.4,M,,*40
(Jan 12 2016 01:15:58,   14451 sec) gga()                $GPGGA,011540,1430.1536,N,08523.3063,E,1,11,0.8,-9.7,M,-77.4,M,,*4C
(Jan 12 2016 01:15:58,   14451 sec) GpsServices()        APF9 RTC skew (18s) OK.
(Jan 12 2016 01:15:59,   14451 sec) LogNmeaSentences()   ,15,44,170,46,18,17,238,41,20,63,295,47,21,06,292,38*76
(Jan 12 2016 01:15:59,   14451 sec) LogNmeaSentences()   $GPGSV,3,3,11,24,07,186,38,25,42,257,46,29,36,334,46*47
(Jan 12 2016 01:16:08,   14460 sec) LogNmeaSentences()   $GPRMC,011550,A,1430.1536,N,08523.3041,E,002.3,223.8,120116,001.3,W*64
(Jan 12 2016 01:16:08,   14461 sec) LogNmeaSentences()   $GPGGA,011550,1430.1536,N,08523.3041,E,1,11,0.8,-9.4,M,-77.4,M,,*4E
(Jan 12 2016 01:16:09,   14461 sec) LogNmeaSentences()   $GPGSA,A,3,02,05,12,13,15,18,20,21,24,25,29,,1.1,0.8,0.8*32
(Jan 12 2016 01:16:09,   14462 sec) LogNmeaSentences()   $GPGSV,3,1,11,02,25,057,43,05,40,023,45,12,39,202,45,13,45,111,44*70
(Jan 12 2016 01:16:10,   14462 sec) LogNmeaSentences()   $GPGSV,3,2,11,15,44,170,46,18,17,238,43,20,63,295,47,21,06,292,37*7B
(Jan 12 2016 01:16:10,   14462 sec) LogNmeaSentences()   $GPGSV,3,3,11,24,07,186,37,25,42,257,46,29,36,334,45*4B
(Jan 12 2016 01:16:18,   14470 sec) LogNmeaSentences()   $GPRMC,011600,A,1430.1540,N,08523.3014,E,001.2,267.2,120116,001.3,W*6B
(Jan 12 2016 01:16:18,   14471 sec) LogNmeaSentences()   $GPGGA,011600,1430.1540,N,08523.3014,E,1,11,0.8,-9.1,M,-77.4,M,,*4C
(Jan 12 2016 01:16:19,   14471 sec) LogNmeaSentences()   $GPGSA,A,3,02,05,12,13,15,18,20,21,24,25,29,,1.1,0.8,0.8*32
(Jan 12 2016 01:16:19,   14472 sec) LogNmeaSentences()   $GPGSV,3,1,11,02,25,057,43,05,40,023,46,12,39,201,47,13,45,110,46*71
(Jan 12 2016 01:16:20,   14472 sec) LogNmeaSentences()   $GPGSV,3,2,11,15,44,170,46,18,18,238,44,20,63,296,46,21,06,292,37*71
(Jan 12 2016 01:16:20,   14472 sec) LogNmeaSentences()   $GPGSV,3,3,11,24,07,186,39,25,42,257,45,29,36,334,45*46
(Jan 12 2016 01:16:20,   14473 sec) LogNmeaSentences()   $PGRMT,GPS 15x-L software ver. 3.90,,,,,,,,*7D
(Jan 12 2016 01:16:28,   14480 sec) LogNmeaSentences()   $GPRMC,011610,A,1430.1538,N,08523.2990,E,000.6,220.7,120116,001.3,W*62
(Jan 12 2016 01:16:28,   14481 sec) LogNmeaSentences()   $GPGGA,011610,1430.1538,N,08523.2990,E,1,11,0.8,-8.8,M,-77.4,M,,*4E
(Jan 12 2016 01:16:29,   14481 sec) GpsServices()        GPS services complete.
(Jan 12 2016 01:17:01,   14514 sec) CLogin()             Connecting to primary host.
(Jan 12 2016 01:17:18,   14530 sec) CLogin()             Connection 1 established in 17 seconds.
(Jan 12 2016 01:17:26,   14539 sec) login()              Login successful.
(Jan 12 2016 01:17:30,   14542 sec) CLogin()             Logged in to host.  [Login required 12 seconds]
(Jan 12 2016 01:17:38,   14550 sec) RxConfig()           Downloading "mission.cfg" from host.
(Jan 12 2016 01:17:40,   14552 sec) Rx()                 Initiating transfer. [0x43]
(Jan 12 2016 01:17:46,   14558 sec) Rx()                 Truncated packet received - retrying.
(Jan 12 2016 01:17:50,   14563 sec) RxStartByte()        Sync errors encountered: 843
(Jan 12 2016 01:17:51,   14564 sec) Rx()                 Pad character [0x1a] found in ascii mode - truncating packet.
(Jan 12 2016 01:17:56,   14568 sec) Rx()                 Received EOT - transfer complete. [1 packets, 1024 bytes, 16 sec, 64.0 bps]
(Jan 12 2016 01:17:56,   14568 sec) RxConfig()           Download successful.
(Jan 12 2016 01:18:10,   14582 sec) WriteVitals()        Writing vitals to "7546.1601120113".
(Jan 12 2016 01:18:14,   14586 sec) UpLoadFile()         Uploading "7546.1601120052.log" to host as "7546.1601120052.log".
(Jan 12 2016 01:18:20,   14593 sec) Tx()                 CRC negotiation successful. [16-bit CRC]
(Jan 12 2016 01:19:05,   14637 sec) TxPacket()           NAK received - resending packet. [PktNum=0x08]
(Jan 12 2016 01:19:05,   14637 sec) TxPacket()           Packet xmit history: [00000001] (0:ok, 1:fail).
(Jan 12 2016 01:19:24,   14656 sec) Tx()                 Transmission completed successfully [10 packets, 9453 bytes, 62 sec, 165.2 bps]
(Jan 12 2016 01:19:24,   14656 sec) UpLoadFile()         Upload successful.
(Jan 12 2016 01:19:27,   14659 sec) UpLoadFile()         Uploading "7546.1601120113" to host as "7546.1601120113".
(Jan 12 2016 01:19:31,   14663 sec) Tx()                 CRC negotiation successful. [16-bit CRC]
(Jan 12 2016 01:19:42,   14674 sec) Tx()                 Transmission completed successfully [1 packets, 700 bytes, 10 sec, 102.4 bps]
(Jan 12 2016 01:19:42,   14674 sec) UpLoadFile()         Upload successful.
(Jan 12 2016 01:19:48,   14680 sec) UpLoad()             Files successfully uploaded: 2
(Jan 12 2016 01:19:48,   14680 sec) UpLoad()             Upload complete.
(Jan 12 2016 01:19:55,   14687 sec) chat()               Expected string [logout] not received.
(Jan 12 2016 01:19:55,   14687 sec) logout()             Attempt to log-out failed.
(Jan 12 2016 01:19:55,   14687 sec) logout()             No carrier detected.
(Jan 12 2016 01:19:55,   14687 sec) Telemetry()          Telemetry cycle complete: PrfId=0 ConnectionAttempts=1  Connections=1
(Jan 12 2016 01:19:57,   14689 sec) configure()          Parsing configurators in "mission.cfg".
(Jan 12 2016 01:20:01,   14693 sec) configure()             TelemetryRetry(15)      [0x7BBC] [TelemetryRetry(15)].
(Jan 12 2016 01:20:01,   14693 sec) configure()          Configuration CRCs and syntax OK.
(Jan 12 2016 01:20:01,   14693 sec) ConfigSupervisor()   Configuration accepted.
(Jan 12 2016 01:35:08,   15601 sec) Prelude()            Logging configuration and initiating telemetry.
(Jan 12 2016 01:35:08,   15601 sec) LogConfiguration()   Mission configuration for Apf9i FwRev 012811:
