(Mar 30 2018 08:07:50,  842931 sec) TelemetryInit()      Profile 125. (Apf9i FwRev: 012811)
(Mar 30 2018 08:15:19,  843380 sec) AirSystem()          Battery [156cnt, 12.1V]  Current [73cnt, 29.4mA]  Barometer [126cnt, 6.5"Hg]  Run-Time [62s]
(Mar 30 2018 08:15:48,  843409 sec) GpsServices()        GPS almanac is current.
(Mar 30 2018 08:15:48,  843409 sec) GpsServices()        Initiating GPS fix acquisition.
(Mar 30 2018 08:16:04,  843425 sec) gga()                $GPGGA,081550,1312.7457,N,08430.0958,E,0,00,,,M,,M,,*5F
(Mar 30 2018 08:16:11,  843432 sec) gga()                $GPGGA,081540,1312.7457,N,08430.0958,E,0,00,,,M,,M,,*5E
(Mar 30 2018 08:16:21,  843442 sec) gga()                $GPGGA,081550,1312.7457,N,08430.0958,E,0,00,,,M,,M,,*5F
(Mar 30 2018 08:16:30,  843452 sec) gga()                $GPGGA,081600,1312.7457,N,08430.0958,E,0,00,,,M,,M,,*59
(Mar 30 2018 08:17:02,  843483 sec) gga()                $GPGGA,081610,1323.7757,N,08429.0783,E,1,10,0.8,-8.7,M,-81.2,M,,*4B
(Mar 30 2018 08:17:02,  843483 sec) GpsServices()        Profile 125 GPS fix obtained in 74 seconds.
(Mar 30 2018 08:17:02,  843484 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Mar 30 2018 08:17:02,  843484 sec) GpsServices()        Fix:   84.485  13.396 03/30/2018 081610   10
(Mar 30 2018 08:17:32,  843513 sec) gga()                $GPGGA,081640,1323.7800,N,08429.0832,E,1,09,0.8,-7.7,M,-81.2,M,,*41
(Mar 30 2018 08:17:37,  843519 sec) gga()                $GPGGA,081710,1323.7826,N,08429.0876,E,1,11,0.8,-8.3,M,-81.2,M,,*43
(Mar 30 2018 08:17:38,  843519 sec) GpsServices()        APF9 RTC skew (28s) OK.
(Mar 30 2018 08:17:38,  843519 sec) LogNmeaSentences()   50,133,47,17,11,212,40,18,29,115,42,23,47,168,47*70
(Mar 30 2018 08:17:38,  843520 sec) LogNmeaSentences()   $GPGSV,3,3,12,27,10,035,40,28,30,283,44,30,23,328,44,03,06,167,00*72
(Mar 30 2018 08:17:47,  843529 sec) LogNmeaSentences()   $GPRMC,081720,A,1323.7837,N,08429.0891,E,001.3,069.3,300318,001.4,W*65
(Mar 30 2018 08:17:48,  843529 sec) LogNmeaSentences()   $GPGGA,081720,1323.7837,N,08429.0891,E,1,11,0.8,-8.4,M,-81.2,M,,*4E
(Mar 30 2018 08:17:48,  843530 sec) LogNmeaSentences()   $GPGSA,A,3,01,07,08,09,11,17,18,23,27,28,30,,1.1,0.8,0.8*37
(Mar 30 2018 08:17:48,  843530 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,26,142,41,07,40,351,48,08,50,037,48,09,71,243,50*7D
(Mar 30 2018 08:17:49,  843530 sec) LogNmeaSentences()   $GPGSV,3,2,12,11,50,133,46,17,11,212,41,18,29,115,44,23,47,168,47*76
(Mar 30 2018 08:17:49,  843531 sec) LogNmeaSentences()   $GPGSV,3,3,12,27,10,035,41,28,30,283,43,30,23,328,43,03,06,167,00*73
(Mar 30 2018 08:17:57,  843539 sec) LogNmeaSentences()   $GPRMC,081730,A,1323.7850,N,08429.0905,E,000.7,057.5,300318,001.4,W*67
(Mar 30 2018 08:17:58,  843539 sec) LogNmeaSentences()   $GPGGA,081730,1323.7850,N,08429.0905,E,1,11,0.8,-9.2,M,-81.2,M,,*45
(Mar 30 2018 08:17:58,  843540 sec) LogNmeaSentences()   $GPGSA,A,3,01,07,08,09,11,17,18,23,27,28,30,,1.1,0.8,0.8*37
(Mar 30 2018 08:17:58,  843540 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,26,142,42,07,40,351,47,08,50,037,48,09,71,243,51*70
(Mar 30 2018 08:17:59,  843540 sec) LogNmeaSentences()   $GPGSV,3,2,12,11,51,132,45,17,11,212,42,18,29,115,44,23,47,168,48*79
(Mar 30 2018 08:17:59,  843541 sec) LogNmeaSentences()   $GPGSV,3,3,12,27,10,035,40,28,30,283,43,30,23,328,43,03,06,167,00*72
(Mar 30 2018 08:18:07,  843549 sec) LogNmeaSentences()   $GPRMC,081740,A,1323.7861,N,08429.0918,E,000.9,343.8,300318,001.4,W*6B
(Mar 30 2018 08:18:08,  843549 sec) LogNmeaSentences()   $GPGGA,081740,1323.7861,N,08429.0918,E,1,11,0.8,-8.1,M,-81.2,M,,*4E
(Mar 30 2018 08:18:08,  843550 sec) LogNmeaSentences()   $GPGSA,A,3,01,07,08,09,11,17,18,23,27,28,30,,1.1,0.8,0.8*37
(Mar 30 2018 08:18:08,  843550 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,26,142,41,07,40,351,48,08,50,037,47,09,71,243,50*72
(Mar 30 2018 08:18:09,  843550 sec) LogNmeaSentences()   $GPGSV,3,2,12,11,51,132,47,17,11,212,42,18,29,115,43,23,47,168,47*73
(Mar 30 2018 08:18:09,  843551 sec) LogNmeaSentences()   $GPGSV,3,3,12,27,09,035,41,28,30,283,44,30,23,328,44,03,06,167,00*7B
(Mar 30 2018 08:18:17,  843559 sec) LogNmeaSentences()   $GPRMC,081750,A,1323.7865,N,08429.0936,E,001.2,027.2,300318,001.4,W*63
(Mar 30 2018 08:18:18,  843559 sec) LogNmeaSentences()   $GPGGA,081750,1323.7865,N,08429.0936,E,1,11,0.8,-8.2,M,-81.2,M,,*44
(Mar 30 2018 08:18:18,  843560 sec) LogNmeaSentences()   $GPGSA,A,3,01,07,08,09,11,17,18,23,27,28,30,,1.5,0.8,1.3*39
(Mar 30 2018 08:18:18,  843560 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,26,141,42,07,40,351,49,08,49,037,50,09,71,243,49*75
(Mar 30 2018 08:18:19,  843560 sec) LogNmeaSentences()   $GPGSV,3,2,12,11,51,132,46,17,11,212,43,18,29,115,42,23,47,168,47*72
(Mar 30 2018 08:18:19,  843561 sec) LogNmeaSentences()   $GPGSV,3,3,12,27,09,035,43,28,30,283,44,30,23,328,44,03,06,167,00*79
(Mar 30 2018 08:18:27,  843569 sec) LogNmeaSentences()   $GPRMC,081800,A,1323.7868,N,08429.0948,E,001.6,091.7,300318,001.4,W*61
(Mar 30 2018 08:18:28,  843569 sec) LogNmeaSentences()   $GPGGA,081800,1323.7868,N,08429.0948,E,1,11,0.8,-7.8,M,-81.2,M,,*4F
