(Aug 15 2018 08:46:38,  846625 sec) TelemetryInit()      Profile 139. (Apf9i FwRev: 012811)
(Aug 15 2018 08:54:17,  847084 sec) AirSystem()          Battery [143cnt, 11.1V]  Current [72cnt, 29.0mA]  Barometer [126cnt, 6.5"Hg]  Run-Time [66s]
(Aug 15 2018 08:54:45,  847112 sec) GpsServices()        GPS almanac is current.
(Aug 15 2018 08:54:45,  847112 sec) GpsServices()        Initiating GPS fix acquisition.
(Aug 15 2018 08:55:03,  847130 sec) gga()                $GPGGA,085450,1416.2571,N,08627.9948,E,0,00,,,M,,M,,*55
(Aug 15 2018 08:55:09,  847136 sec) gga()                $GPGGA,085440,1416.2571,N,08627.9948,E,0,00,,,M,,M,,*54
(Aug 15 2018 08:55:19,  847146 sec) gga()                $GPGGA,085450,1416.2571,N,08627.9948,E,0,00,,,M,,M,,*55
(Aug 15 2018 08:55:29,  847156 sec) gga()                $GPGGA,085500,1416.2571,N,08627.9948,E,0,00,,,M,,M,,*51
(Aug 15 2018 08:55:39,  847166 sec) gga()                $GPGGA,085510,1416.2571,N,08627.9948,E,0,00,,,M,,M,,*50
(Aug 15 2018 08:55:49,  847176 sec) gga()                $GPGGA,085520,1416.2571,N,08627.9948,E,0,00,,,M,,M,,*53
(Aug 15 2018 08:55:59,  847186 sec) gga()                $GPGGA,085530,1416.2571,N,08627.9948,E,0,00,,,M,,M,,*52
(Aug 15 2018 08:56:09,  847196 sec) gga()                $GPGGA,085540,1416.2571,N,08627.9948,E,0,00,,,M,,M,,*55
(Aug 15 2018 08:56:19,  847206 sec) gga()                $GPGGA,085550,1416.2571,N,08627.9948,E,0,00,,,M,,M,,*54
(Aug 15 2018 08:56:29,  847216 sec) gga()                $GPGGA,085600,1416.2571,N,08627.9948,E,0,00,,,M,,M,,*52
(Aug 15 2018 08:56:39,  847226 sec) gga()                $GPGGA,085610,1416.2571,N,08627.9948,E,0,00,,,M,,M,,*53
