(Nov 27 2014 12:05:59,    2145 sec) AirSystem()          Air-bladder inflation by-passed. Barometer: [125cnt, 6.2"Hg].
(Nov 27 2014 12:06:54,    2201 sec) GpsServices()        GPS almanac is current.
(Nov 27 2014 12:06:54,    2201 sec) GpsServices()        Initiating GPS fix acquisition.
(Nov 27 2014 12:07:25,    2232 sec) gga()                $GPGGA,120700,1024.0812,N,08437.1518,E,1,10,0.9,15.5,M,-85.6,M,,*50
(Nov 27 2014 12:07:25,    2232 sec) GpsServices()        Profile 0 GPS fix obtained in 31 seconds.
(Nov 27 2014 12:07:26,    2232 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Nov 27 2014 12:07:26,    2232 sec) GpsServices()        Fix:   84.619  10.401 11/27/2014 120700   10
(Nov 27 2014 12:07:54,    2261 sec) gga()                $GPGGA,120730,1024.0291,N,08437.1952,E,1,11,0.8,7.4,M,-85.6,M,,*62
(Nov 27 2014 12:08:00,    2267 sec) gga()                $GPGGA,120800,1023.9755,N,08437.2380,E,1,10,0.9,9.1,M,-85.6,M,,*60
(Nov 27 2014 12:08:00,    2267 sec) GpsServices()        APF9 RTC skew (0s) OK.
(Nov 27 2014 12:08:01,    2267 sec) LogNmeaSentences()   2,12,18,37,097,44,19,09,258,40,21,22,159,19,22,57,043,48*7D
(Nov 27 2014 12:08:01,    2268 sec) LogNmeaSentences()   $GPGSV,3,3,12,25,23,078,40,27,12,230,38,31,79,254,49,32,08,321,37*74
(Nov 27 2014 12:08:01,    2268 sec) LogNmeaSentences()   $PGRMT,GPS 15x-L software ver. 3.80,,,,,,,,*7C
(Nov 27 2014 12:08:10,    2277 sec) LogNmeaSentences()   $GPRMC,120810,A,1023.9579,N,08437.2524,E,008.2,140.4,271114,001.7,W*68
(Nov 27 2014 12:08:10,    2277 sec) LogNmeaSentences()   $GPGGA,120810,1023.9579,N,08437.2524,E,1,10,0.9,8.5,M,-85.6,M,,*60
(Nov 27 2014 12:08:11,    2278 sec) LogNmeaSentences()   $GPGSA,A,3,04,11,14,,18,19,,22,25,27,31,32,1.6,0.9,1.3*3F
(Nov 27 2014 12:08:11,    2278 sec) LogNmeaSentences()   $GPGSV,3,1,12,04,25,310,47,11,08,305,43,14,34,006,47,16,02,201,31*70
(Nov 27 2014 12:08:12,    2278 sec) LogNmeaSentences()   $GPGSV,3,2,12,18,37,097,44,19,09,258,40,21,22,159,25,22,57,043,47*7D
(Nov 27 2014 12:08:12,    2279 sec) LogNmeaSentences()   $GPGSV,3,3,12,25,23,078,40,27,12,230,40,31,79,254,49,32,08,321,38*74
(Nov 27 2014 12:08:20,    2287 sec) LogNmeaSentences()   $GPRMC,120820,A,1023.9406,N,08437.2671,E,008.2,141.9,271114,001.7,W*6D
(Nov 27 2014 12:08:20,    2287 sec) LogNmeaSentences()   $GPGGA,120820,1023.9406,N,08437.2671,E,1,11,0.8,8.1,M,-85.6,M,,*6D
(Nov 27 2014 12:08:21,    2288 sec) LogNmeaSentences()   $GPGSA,A,3,04,11,14,,18,19,21,22,25,27,31,32,1.5,0.8,1.3*3E
(Nov 27 2014 12:08:21,    2288 sec) LogNmeaSentences()   $GPGSV,3,1,12,04,25,310,47,11,09,304,43,14,33,007,47,16,02,201,16*73
(Nov 27 2014 12:08:22,    2288 sec) LogNmeaSentences()   $GPGSV,3,2,12,18,37,097,44,19,09,258,41,21,22,159,26,22,57,043,48*70
(Nov 27 2014 12:08:22,    2289 sec) LogNmeaSentences()   $GPGSV,3,3,12,25,23,078,39,27,12,230,42,31,79,254,49,32,08,321,38*78
(Nov 27 2014 12:08:30,    2297 sec) LogNmeaSentences()   $GPRMC,120830,A,1023.9224,N,08437.2812,E,008.3,143.6,271114,001.7,W*6D
