(Dec 24 2016 16:11:23,    2238 sec) AirSystem()          Battery [191cnt, 14.8V]  Current [66cnt, 265.9mA]  Barometer [127cnt, 6.8"Hg]  Run-Time [40s]
(Dec 24 2016 16:12:16,    2291 sec) GetSurfaceObs()      P/O2,T2,TPhase,RPhase,RawTemp/FSig,BbSig,TSig: -0.2dbars / 246.4uM 24.639C 30.174 8.673 -57.254 / 61,136,532
(Dec 24 2016 16:12:27,    2302 sec) GpsServices()        Replacing aged (102 days) almanac.
(Dec 24 2016 16:12:27,    2302 sec) UpLoadGpsAlmanac()   Pausing for 15 minutes to upload GPS almanac.
(Dec 24 2016 16:27:27,    3202 sec) UpLoadGpsAlmanac()   Pause complete.
(Dec 24 2016 16:27:27,    3202 sec) GpsServices()        New almanac acquired.
(Dec 24 2016 16:27:27,    3202 sec) GpsServices()        Initiating GPS fix acquisition.
(Dec 24 2016 16:28:13,    3248 sec) gga()                $GPGGA,162730,1812.2341,N,08941.3109,E,1,09,0.8,1.3,M,-67.5,M,,*68
(Dec 24 2016 16:28:13,    3248 sec) GpsServices()        Profile 0 GPS fix obtained in 46 seconds.
(Dec 24 2016 16:28:13,    3248 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Dec 24 2016 16:28:13,    3249 sec) GpsServices()        Fix:   89.689  18.204 12/24/2016 162730    9
(Dec 24 2016 16:29:03,    3298 sec) gga()                $GPGGA,162820,1812.2377,N,08941.3016,E,1,09,0.8,0.9,M,-67.5,M,,*67
(Dec 24 2016 16:29:10,    3305 sec) gga()                $GPGGA,162910,1812.2411,N,08941.2921,E,1,09,0.8,0.7,M,-67.5,M,,*60
(Dec 24 2016 16:29:11,    3306 sec) GpsServices()        APF9 RTC skew (1s) OK.
(Dec 24 2016 16:29:11,    3306 sec) GpsServices()        GPS services complete.
(Dec 24 2016 16:29:44,    3339 sec) CLogin()             Connecting to primary host.
(Dec 24 2016 16:29:55,    3350 sec) CLogin()             Connection 1 established in 11 seconds.
(Dec 24 2016 16:30:04,    3359 sec) login()              Login successful.
(Dec 24 2016 16:30:09,    3364 sec) CLogin()             Logged in to host.  [Login required 14 seconds]
(Dec 24 2016 16:30:21,    3377 sec) RxConfig()           Downloading "mission.cfg" from host.
(Dec 24 2016 16:30:24,    3379 sec) Rx()                 Initiating transfer. [0x43]
(Dec 24 2016 16:30:30,    3385 sec) Rx()                 Pad character [0x1a] found in ascii mode - truncating packet.
(Dec 24 2016 16:30:35,    3390 sec) Rx()                 Received EOT - transfer complete. [1 packets, 1024 bytes, 11 sec, 93.1 bps]
(Dec 24 2016 16:30:35,    3390 sec) RxConfig()           Download successful.
(Dec 24 2016 16:30:45,    3400 sec) RxConfig()           Attempt to delete "mission.cfg" failed [errno=2].
(Dec 24 2016 16:31:08,    3423 sec) WriteVitals()        Writing vitals to "7825.1612241609".
(Dec 24 2016 16:31:14,    3429 sec) UpLoadFile()         Uploading "7825.000.log" to host as "7825.000.log".
(Dec 24 2016 16:31:17,    3432 sec) Tx()                 CRC negotiation successful. [16-bit CRC]
(Dec 24 2016 16:32:08,    3483 sec) Tx()                 Transmission completed successfully [8 packets, 7698 bytes, 50 sec, 163.8 bps]
