(Jul 11 2020 23:18:58,  866986 sec) TelemetryInit()      Profile 176. (Apf9i FwRev: 061016)
(Jul 11 2020 23:25:58,  867405 sec) AirSystem()          Battery [189cnt, 14.7V]  Current [73cnt, 294.1mA]  Barometer [127cnt, 6.8"Hg]  Run-Time [49s]
(Jul 11 2020 23:26:43,  867450 sec) GetSurfaceObs()      P/O2,T2,TPhase,RPhase,RawTemp/FSig,BbSig,TSig: -0.5dbars / 222.8uM 28.584C 29.338 8.949 -3.259 / 64,136,532
(Jul 11 2020 23:26:51,  867459 sec) GpsServices()        GPS almanac is current.
(Jul 11 2020 23:26:51,  867459 sec) GpsServices()        Initiating GPS fix acquisition.
(Jul 11 2020 23:27:07,  867474 sec) gga()                $GPGGA,232620,1843.4280,N,06841.6212,E,0,00,,,M,,M,,*56
(Jul 11 2020 23:27:20,  867487 sec) gga()                $GPGGA,232640,1843.4280,N,06841.6212,E,0,00,,,M,,M,,*50
(Jul 11 2020 23:27:31,  867498 sec) gga()                $GPGGA,232650,1843.4280,N,06841.6212,E,0,00,,,M,,M,,*51
(Jul 11 2020 23:27:41,  867509 sec) gga()                $GPGGA,232700,1843.4280,N,06841.6212,E,0,00,,,M,,M,,*55
(Jul 11 2020 23:27:52,  867520 sec) gga()                $GPGGA,232710,1843.4280,N,06841.6212,E,0,00,,,M,,M,,*54
(Jul 11 2020 23:28:03,  867531 sec) gga()                $GPGGA,232720,1843.4280,N,06841.6212,E,0,00,,,M,,M,,*57
(Jul 11 2020 23:28:46,  867574 sec) gga()                $GPGGA,232730,1838.2811,N,06851.7307,E,1,09,0.9,1.8,M,-65.1,M,,*62
(Jul 11 2020 23:28:47,  867574 sec) GpsServices()        Profile 176 GPS fix obtained in 115 seconds.
(Jul 11 2020 23:28:47,  867575 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Jul 11 2020 23:28:47,  867575 sec) GpsServices()        Fix:   68.862  18.638 07/11/2020 232730    9
(Jul 11 2020 23:29:32,  867619 sec) gga()                $GPGGA,232820,1838.2829,N,06851.7359,E,1,10,0.8,-0.2,M,-65.1,M,,*43
(Jul 11 2020 23:29:39,  867627 sec) gga()                $GPGGA,232910,1838.2824,N,06851.7395,E,1,10,0.8,0.7,M,-65.1,M,,*64
(Jul 11 2020 23:29:40,  867627 sec) GpsServices()        APF9 RTC skew (30s) OK.
(Jul 11 2020 23:29:40,  867628 sec) GpsServices()        GPS services complete.
(Jul 11 2020 23:30:21,  867669 sec) CLogin()             Connecting to primary host.
(Jul 11 2020 23:30:40,  867687 sec) CLogin()             Connection 1 established in 19 seconds.
(Jul 11 2020 23:31:10,  867717 sec) expect()             Attempt to read prompt string [login:] failed.
(Jul 11 2020 23:31:10,  867718 sec) login()              Login prompt not received.
(Jul 11 2020 23:31:20,  867728 sec) login()              Login successful.
(Jul 11 2020 23:31:25,  867733 sec) CLogin()             Logged in to host.  [Login required 45 seconds]
(Jul 11 2020 23:31:37,  867745 sec) RxConfig()           Downloading "mission.cfg" from host.
(Jul 11 2020 23:31:40,  867748 sec) Rx()                 Initiating transfer. [0x43]
(Jul 11 2020 23:31:42,  867750 sec) RxStartByte()        Sync errors encountered: 543
(Jul 11 2020 23:31:45,  867752 sec) Rx()                 Truncated packet received - retrying.
(Jul 11 2020 23:31:47,  867755 sec) RxStartByte()        Sync errors encountered: 997
(Jul 11 2020 23:31:50,  867757 sec) Rx()                 Truncated packet received - retrying.
(Jul 11 2020 23:31:52,  867759 sec) Rx()                 Corrupt packet received - retrying.
(Jul 11 2020 23:31:54,  867761 sec) RxStartByte()        Sync errors encountered: 895
(Jul 11 2020 23:31:56,  867764 sec) Rx()                 Pad character [0x1a] found in ascii mode - truncating packet.
(Jul 11 2020 23:31:58,  867766 sec) Rx()                 Previous packet received again - resyncing.
(Jul 11 2020 23:32:03,  867770 sec) Rx()                 False EOT packet detected - ignoring.
(Jul 11 2020 23:32:14,  867781 sec) Rx()                 Packet timeout - retrying.
(Jul 11 2020 23:32:25,  867792 sec) Rx()                 Packet timeout - retrying.
(Jul 11 2020 23:32:36,  867803 sec) Rx()                 Packet timeout - retrying.
(Jul 11 2020 23:32:47,  867814 sec) Rx()                 Packet timeout - retrying.
(Jul 11 2020 23:32:58,  867825 sec) Rx()                 Packet timeout - retrying.
(Jul 11 2020 23:33:09,  867836 sec) Rx()                 Packet timeout - retrying.
(Jul 11 2020 23:33:20,  867847 sec) Rx()                 Packet timeout - retrying.
(Jul 11 2020 23:33:31,  867858 sec) Rx()                 Packet timeout - retrying.
(Jul 11 2020 23:33:31,  867859 sec) Rx()                 Attempt to read packet 2 failed.  Transfer aborted.
(Jul 11 2020 23:33:42,  867870 sec) RxConfig()           Download failed.
(Jul 11 2020 23:33:54,  867882 sec) RxConfig()           Downloading "mission.cfg" from host.
(Jul 11 2020 23:33:57,  867885 sec) Rx()                 Initiating transfer. [0x43]
(Jul 11 2020 23:34:12,  867899 sec) RxStartByte()        Sync errors encountered: 1
(Jul 11 2020 23:34:12,  867900 sec) Rx()                 Re-initiating transfer. [0x43]
(Jul 11 2020 23:34:24,  867911 sec) RxStartByte()        Sync errors encountered: 1
