(Mar 23 2022 21:22:05,  854335 sec) TelemetryInit()      Profile 238. (Apf9i FwRev: 061016)
(Mar 23 2022 21:29:47,  854797 sec) AirSystem()          Battery [142cnt, 11.0V]  Current [72cnt, 290.1mA]  Barometer [126cnt, 6.5"Hg]  Run-Time [67s]
(Mar 23 2022 21:30:40,  854850 sec) GetSurfaceObs()      P/O2,T2,TPhase,RPhase,RawTemp/FSig,BbSig,TSig: -0.7dbars / 246.9uM 23.536C 30.136 8.935 159.252 / 79,190,536
(Mar 23 2022 21:30:48,  854858 sec) GpsServices()        GPS almanac is current.
(Mar 23 2022 21:30:48,  854858 sec) GpsServices()        Initiating GPS fix acquisition.
(Mar 23 2022 21:31:09,  854879 sec) gga()                $GPGGA,213050,1829.0056,N,06003.4987,E,0,00,,,M,,M,,*5E
(Mar 23 2022 21:31:22,  854892 sec) gga()                $GPGGA,213110,1829.0056,N,06003.4987,E,0,00,,,M,,M,,*5B
(Mar 23 2022 21:31:33,  854903 sec) gga()                $GPGGA,213120,1829.0056,N,06003.4987,E,0,00,,,M,,M,,*58
(Mar 23 2022 21:31:44,  854914 sec) gga()                $GPGGA,213130,1829.0056,N,06003.4987,E,0,00,,,M,,M,,*59
(Mar 23 2022 21:32:27,  854957 sec) gga()                $GPGGA,213130,1824.7565,N,05936.2600,E,6,10,0.7,14.4,M,-47.3,M,,*5E
(Mar 23 2022 21:33:54,  855044 sec) gga()                $GPGGA,213310,1824.7402,N,05936.2566,E,1,09,0.8,13.1,M,-47.3,M,,*5F
(Mar 23 2022 21:33:55,  855045 sec) GpsServices()        Profile 238 GPS fix obtained in 186 seconds.
(Mar 23 2022 21:33:55,  855045 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Mar 23 2022 21:33:55,  855045 sec) GpsServices()        Fix:   59.604  18.412 03/23/2022 213310    9
(Mar 23 2022 21:34:44,  855094 sec) gga()                $GPGGA,213400,1824.7318,N,05936.2544,E,1,09,0.8,13.2,M,-47.3,M,,*56
(Mar 23 2022 21:34:52,  855102 sec) gga()                $GPGGA,213450,1824.7235,N,05936.2525,E,1,09,0.8,12.8,M,-47.3,M,,*51
(Mar 23 2022 21:34:52,  855102 sec) GpsServices()        APF9 RTC skew (2s) OK.
(Mar 23 2022 21:35:02,  855112 sec) LogNmeaSentences()   $GPRMC,213500,A,1824.7219,N,05936.2520,E,000.7,192.3,230322,000.3,E*72
(Mar 23 2022 21:35:02,  855113 sec) LogNmeaSentences()   $GPGGA,213500,1824.7219,N,05936.2520,E,1,09,0.8,12.8,M,-47.3,M,,*5E
(Mar 23 2022 21:35:03,  855113 sec) LogNmeaSentences()   $GPGSA,A,3,01,,04,08,10,,21,26,27,31,32,,1.2,0.8,0.9*3D
(Mar 23 2022 21:35:04,  855114 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,28,323,39,03,04,305,34,04,11,248,40,08,23,240,40*78
(Mar 23 2022 21:35:04,  855114 sec) LogNmeaSentences()   $GPGSV,3,2,12,10,26,082,44,16,03,182,33,21,56,308,46,26,14,153,41*71
(Mar 23 2022 21:35:05,  855115 sec) LogNmeaSentences()   $GPGSV,3,3,12,27,19,204,41,31,67,103,48,32,33,028,44,11,32,296,00*7E
(Mar 23 2022 21:35:05,  855116 sec) LogNmeaSentences()   $PGRMT,GPS 15x-L software ver. 4.00,,,,,,,,*73
(Mar 23 2022 21:35:12,  855122 sec) LogNmeaSentences()   $GPRMC,213510,A,1824.7203,N,05936.2515,E,000.6,190.9,230322,000.3,E*77
(Mar 23 2022 21:35:12,  855123 sec) LogNmeaSentences()   $GPGGA,213510,1824.7203,N,05936.2515,E,1,10,0.8,13.0,M,-47.3,M,,*53
(Mar 23 2022 21:35:13,  855123 sec) LogNmeaSentences()   $GPGSA,A,3,01,03,04,08,10,,21,26,27,31,32,,1.1,0.8,0.8*3C
(Mar 23 2022 21:35:14,  855124 sec) LogNmeaSentences()   $GPGSV,3,1,12,01,29,322,41,03,05,305,37,04,12,248,39,08,23,240,41*79
(Mar 23 2022 21:35:14,  855124 sec) LogNmeaSentences()   $GPGSV,3,2,12,10,26,082,44,16,03,182,33,21,56,308,46,26,14,153,41*71
(Mar 23 2022 21:35:15,  855125 sec) LogNmeaSentences()   $GPGSV,3,3,12,27,19,204,41,31,67,103,47,32,33,028,46,11,32,296,00*73
(Mar 23 2022 21:35:22,  855132 sec) LogNmeaSentences()   $GPRMC,213520,A,1824.7186,N,05936.2511,E,000.8,179.0,230322,000.3,E*7E
(Mar 23 2022 21:35:22,  855133 sec) LogNmeaSentences()   $GPGGA,213520,1824.7186,N,05936.2511,E,1,10,0.8,12.6,M,-47.3,M,,*5D
(Mar 23 2022 21:35:23,  855133 sec) GpsServices()        GPS services complete.
(Mar 23 2022 21:37:26,  855256 sec) Telemetry()          Iridium modem registration failed.
(Mar 23 2022 21:52:46,  856176 sec) AirSystem()          Air-bladder inflation by-passed. Barometer: [125cnt, 6.2"Hg].
(Mar 23 2022 21:53:32,  856222 sec) GetSurfaceObs()      P/O2,T2,TPhase,RPhase,RawTemp/FSig,BbSig,TSig: -0.5dbars / 251.5uM 22.566C 30.323 8.885 190.835 / 77,197,536
(Mar 23 2022 21:53:40,  856230 sec) GpsServices()        GPS almanac is current.
(Mar 23 2022 21:53:40,  856230 sec) GpsServices()        Initiating GPS fix acquisition.
(Mar 23 2022 21:54:35,  856285 sec) gga()                $GPGGA,215350,1824.5458,N,05936.2136,E,1,11,0.7,12.5,M,-47.3,M,,*52
(Mar 23 2022 21:54:35,  856286 sec) GpsServices()        Profile 238 GPS fix obtained in 55 seconds.
(Mar 23 2022 21:54:36,  856286 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Mar 23 2022 21:54:36,  856286 sec) GpsServices()        Fix:   59.604  18.409 03/23/2022 215350   11
(Mar 23 2022 21:55:24,  856334 sec) gga()                $GPGGA,215440,1824.5386,N,05936.2121,E,1,11,0.7,10.2,M,-47.3,M,,*53
(Mar 23 2022 21:55:32,  856342 sec) gga()                $GPGGA,215530,1824.5314,N,05936.2104,E,1,11,0.7,10.1,M,-47.3,M,,*5A
(Mar 23 2022 21:55:32,  856342 sec) GpsServices()        APF9 RTC skew (2s) OK.
(Mar 23 2022 21:55:32,  856342 sec) GpsServices()        GPS services complete.
(Mar 23 2022 21:56:06,  856376 sec) CLogin()             Connecting to primary host.
(Mar 23 2022 21:56:20,  856390 sec) CLogin()             Connection 1 established in 14 seconds.
(Mar 23 2022 21:56:51,  856421 sec) expect()             Attempt to read prompt string [Last login:] failed.
(Mar 23 2022 21:56:51,  856421 sec) login()              Login failed.
(Mar 23 2022 21:57:21,  856451 sec) expect()             Attempt to read prompt string [login:] failed.
(Mar 23 2022 21:57:21,  856451 sec) login()              Login prompt not received.
(Mar 23 2022 21:57:37,  856467 sec) CLogin()             Connection 2 established in 91 seconds.
(Mar 23 2022 21:58:10,  856500 sec) expect()             Attempt to read prompt string [Last login:] failed.
(Mar 23 2022 21:58:10,  856500 sec) login()              Login failed.
(Mar 23 2022 21:59:09,  856559 sec) expect()             Attempt to read prompt string [Password:] failed.
(Mar 23 2022 21:59:09,  856559 sec) login()              Password prompt not received.
(Mar 23 2022 21:59:09,  856559 sec) CLogin()             Attempt to connect to primary host failed after 2 tries.  Connecting to alternate host.
(Mar 23 2022 22:00:10,  856620 sec) chat()               Expected string [CONNECT] not received.
(Mar 23 2022 22:00:10,  856620 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(Mar 23 2022 22:00:10,  856620 sec) connect()            Connection attempt failed.
(Mar 23 2022 22:01:11,  856681 sec) chat()               Expected string [CONNECT] not received.
(Mar 23 2022 22:01:11,  856681 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(Mar 23 2022 22:01:11,  856681 sec) connect()            Connection attempt failed.
(Mar 23 2022 22:01:11,  856681 sec) CLogin()             Attempt to connect to primary and alternate hosts failed - aborting.
(Mar 23 2022 22:01:12,  856682 sec) DownLoadMissionCfg(  Connect/login failed.  Mission configuration not downloaded from remote host.
(Mar 23 2022 22:01:18,  856688 sec) CLogin()             Connecting to primary host.
(Mar 23 2022 22:01:27,  856697 sec) CLogin()             Connection 3 established in 10 seconds.
(Mar 23 2022 22:01:59,  856729 sec) expect()             Attempt to read prompt string [Last login:] failed.
(Mar 23 2022 22:01:59,  856729 sec) login()              Login failed.
(Mar 23 2022 22:02:58,  856788 sec) expect()             Attempt to read prompt string [Password:] failed.
(Mar 23 2022 22:02:58,  856788 sec) login()              Password prompt not received.
(Mar 23 2022 22:03:08,  856798 sec) CLogin()             Connection 4 established in 111 seconds.
(Mar 23 2022 22:03:39,  856829 sec) expect()             Attempt to read prompt string [Last login:] failed.
(Mar 23 2022 22:03:39,  856829 sec) login()              Login failed.
(Mar 23 2022 22:04:38,  856888 sec) expect()             Attempt to read prompt string [Password:] failed.
(Mar 23 2022 22:04:38,  856888 sec) login()              Password prompt not received.
(Mar 23 2022 22:04:38,  856888 sec) CLogin()             Attempt to connect to primary host failed after 2 tries.  Connecting to alternate host.
(Mar 23 2022 22:05:39,  856949 sec) chat()               Expected string [CONNECT] not received.
(Mar 23 2022 22:05:39,  856949 sec) modem_connect()      Modem command [ATDT0013014291790] failed.
(Mar 23 2022 22:05:39,  856949 sec) connect()            Connection attempt failed.
(Mar 23 2022 22:06:40,  857010 sec) chat()               Expected string [CONNECT] not received.
