(Oct 14 2014 06:28:22,    1135 sec) AirSystem()          Battery [193cnt, 15.0V]  Current [73cnt, 294.1mA]  Barometer [127cnt, 6.8"Hg]  Run-Time [40s]
(Oct 14 2014 06:28:59,    1172 sec) GetSurfaceObs()      P/O2,T2,TPhase,RPhase,RawTemp/FSig,BbSig,TSig: -0.3dbars / 174.3uM 39.831C 27.181 9.328 -540.105 / 49,50,521
(Oct 14 2014 06:29:10,    1183 sec) GpsServices()        GPS almanac is current.
(Oct 14 2014 06:29:10,    1183 sec) GpsServices()        Initiating GPS fix acquisition.
(Oct 14 2014 06:29:27,    1200 sec) gga()                $GPGGA,062940,1731.6097,N,07823.9195,E,0,00,,,M,,M,,*52
(Oct 14 2014 06:29:43,    1216 sec) gga()                $GPGGA,062930,1731.6097,N,07823.9195,E,0,00,,,M,,M,,*55
(Oct 14 2014 06:30:25,    1259 sec) gga()                $GPGGA,062940,1523.7919,N,07347.6236,E,1,07,1.3,75.6,M,-81.0,M,,*5B
(Oct 14 2014 06:30:26,    1259 sec) GpsServices()        Profile 0 GPS fix obtained in 76 seconds.
(Oct 14 2014 06:30:26,    1259 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Oct 14 2014 06:30:26,    1259 sec) GpsServices()        Fix:   73.794  15.397 10/14/2014 062940    7
(Oct 14 2014 06:31:15,    1308 sec) gga()                $GPGGA,063030,1523.7918,N,07347.6238,E,1,08,0.9,76.8,M,-81.0,M,,*52
(Oct 14 2014 06:31:23,    1316 sec) gga()                $GPGGA,063120,1523.7926,N,07347.6255,E,1,08,0.9,79.9,M,-81.0,M,,*5A
(Oct 14 2014 06:31:23,    1316 sec) GpsServices()        APF9 RTC skew (3s) OK.
(Oct 14 2014 06:31:23,    1316 sec) GpsServices()        GPS services complete.
(Oct 14 2014 06:32:21,    1374 sec) CLogin()             Connecting to primary host.
(Oct 14 2014 06:33:22,    1435 sec) chat()               Expected string [CONNECT] not received.
(Oct 14 2014 06:33:22,    1435 sec) modem_connect()      Modem command [AT+CBST=71,0,1;DT0088160000573] failed.
(Oct 14 2014 06:33:22,    1435 sec) connect()            Connection attempt failed.
(Oct 14 2014 06:34:23,    1496 sec) chat()               Expected string [CONNECT] not received.
(Oct 14 2014 06:34:23,    1496 sec) modem_connect()      Modem command [AT+CBST=71,0,1;DT0088160000573] failed.
(Oct 14 2014 06:34:23,    1496 sec) connect()            Connection attempt failed.
(Oct 14 2014 06:34:23,    1496 sec) CLogin()             Attempt to connect to primary host failed after 2 tries.  Connecting to alternate host.
(Oct 14 2014 06:35:24,    1557 sec) chat()               Expected string [CONNECT] not received.
(Oct 14 2014 06:35:24,    1557 sec) modem_connect()      Modem command [AT+CBST=7,0,1;DT0013016366303] failed.
(Oct 14 2014 06:35:24,    1557 sec) connect()            Connection attempt failed.
(Oct 14 2014 06:36:25,    1618 sec) chat()               Expected string [CONNECT] not received.
(Oct 14 2014 06:36:25,    1618 sec) modem_connect()      Modem command [AT+CBST=7,0,1;DT0013016366303] failed.
(Oct 14 2014 06:36:25,    1618 sec) connect()            Connection attempt failed.
(Oct 14 2014 06:36:25,    1618 sec) CLogin()             Attempt to connect to primary and alternate hosts failed - aborting.
(Oct 14 2014 06:36:26,    1619 sec) DownLoadMissionCfg(  Connect/login failed.  Mission configuration not downloaded from remote host.
