(Mar 29 2015 16:09:38,   10293 sec) AirSystem()          Battery [189cnt, 14.7V]  Current [98cnt, 394.9mA]  Barometer [128cnt, 7.1"Hg]  Run-Time [3s]
(Mar 29 2015 16:10:15,   10330 sec) GetSurfaceObs()      P/O2,T2,TPhase,RPhase,RawTemp/FSig,BbSig,TSig: -0.3dbars / 390.8uM 1.324C 35.155 8.143 639.058 / 111,157,576
(Mar 29 2015 16:10:26,   10341 sec) GpsServices()        GPS almanac is current.
(Mar 29 2015 16:10:26,   10341 sec) GpsServices()        Initiating GPS fix acquisition.
(Mar 29 2015 16:11:17,   10392 sec) gga()                $GPGGA,161020,5401.1524,S,01800.7121,E,1,10,0.9,-15.3,M,29.6,M,,*4A
(Mar 29 2015 16:11:17,   10392 sec) GpsServices()        Profile 0 GPS fix obtained in 51 seconds.
(Mar 29 2015 16:11:17,   10392 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Mar 29 2015 16:11:17,   10393 sec) GpsServices()        Fix:   18.012 -54.019 03/29/2015 161020   10
(Mar 29 2015 16:12:06,   10442 sec) gga()                $GPGGA,161110,5401.1607,S,01800.7267,E,1,10,0.8,0.8,M,29.6,M,,*58
(Mar 29 2015 16:12:14,   10450 sec) gga()                $GPGGA,161200,5401.1627,S,01800.7401,E,1,11,0.8,-14.2,M,29.6,M,,*4D
(Mar 29 2015 16:12:15,   10450 sec) GpsServices()        APF9 RTC skew (15s) OK.
(Mar 29 2015 16:12:15,   10450 sec) GpsServices()        GPS services complete.
(Mar 29 2015 16:12:41,   10476 sec) CLogin()             Connecting to primary host.
(Mar 29 2015 16:12:51,   10486 sec) CLogin()             Connection 1 established in 10 seconds.
(Mar 29 2015 16:13:00,   10495 sec) login()              Login successful.
(Mar 29 2015 16:13:05,   10500 sec) chat()               Expected string [cmd>] not received.
(Mar 29 2015 16:13:05,   10500 sec) login()              Attempt to set the command prompt failed.
(Mar 29 2015 16:13:11,   10506 sec) CLogin()             Logged in to host.  [Login required 20 seconds]
(Mar 29 2015 16:13:30,   10526 sec) RxConfig()           Downloading "mission.cfg" from host.
(Mar 29 2015 16:13:33,   10528 sec) Rx()                 Initiating transfer. [0x43]
(Mar 29 2015 16:13:41,   10536 sec) Rx()                 Pad character [0x1a] found in ascii mode - truncating packet.
(Mar 29 2015 16:13:48,   10543 sec) Rx()                 Received EOT - transfer complete. [1 packets, 1024 bytes, 15 sec, 68.3 bps]
(Mar 29 2015 16:13:48,   10543 sec) RxConfig()           Download successful.
(Mar 29 2015 16:14:11,   10566 sec) WriteVitals()        Writing vitals to "9331.1503291609".
(Mar 29 2015 16:14:32,   10588 sec) UpLoadFile()         Uploading "9331.1503291541.log" to host as "9331.1503291541.log".
(Mar 29 2015 16:14:51,   10607 sec) Tx()                 CRC negotiation successful. [16-bit CRC]
(Mar 29 2015 16:14:56,   10612 sec) TxPacket()           Invalid response [0x43] - resending packet. [PktNum=0x01]
