(Mar 29 2015 18:09:06,   17462 sec) AirSystem()          Air-bladder inflation by-passed. Barometer: [126cnt, 6.5"Hg].
(Mar 29 2015 18:10:00,   17515 sec) GetSurfaceObs()      P/O2,T2,TPhase,RPhase,RawTemp/FSig,BbSig,TSig: -0.3dbars / 392.9uM 1.242C 35.140 8.103 641.562 / 117,162,576
(Mar 29 2015 18:10:11,   17526 sec) GpsServices()        GPS almanac is current.
(Mar 29 2015 18:10:11,   17526 sec) GpsServices()        Initiating GPS fix acquisition.
(Mar 29 2015 18:10:56,   17572 sec) gga()                $GPGGA,181000,5402.1019,S,01802.8340,E,1,06,1.3,-13.4,M,29.6,M,,*4B
(Mar 29 2015 18:10:57,   17572 sec) GpsServices()        Profile 0 GPS fix obtained in 46 seconds.
(Mar 29 2015 18:10:57,   17572 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Mar 29 2015 18:10:57,   17572 sec) GpsServices()        Fix:   18.047 -54.035 03/29/2015 181000    6
(Mar 29 2015 18:11:46,   17622 sec) gga()                $GPGGA,181050,5402.1055,S,01802.8392,E,1,08,1.1,-11.6,M,29.6,M,,*45
(Mar 29 2015 18:11:54,   17630 sec) gga()                $GPGGA,181140,5402.1112,S,01802.8598,E,1,08,1.1,-11.4,M,29.6,M,,*49
(Mar 29 2015 18:11:55,   17630 sec) GpsServices()        APF9 RTC skew (15s) OK.
(Mar 29 2015 18:11:55,   17630 sec) GpsServices()        GPS services complete.
(Mar 29 2015 18:12:20,   17655 sec) CLogin()             Connecting to primary host.
(Mar 29 2015 18:12:32,   17668 sec) CLogin()             Connection 1 established in 12 seconds.
(Mar 29 2015 18:12:44,   17679 sec) login()              Login successful.
(Mar 29 2015 18:12:49,   17684 sec) chat()               Expected string [cmd>] not received.
(Mar 29 2015 18:12:49,   17684 sec) login()              Attempt to set the command prompt failed.
(Mar 29 2015 18:12:52,   17687 sec) CLogin()             Logged in to host.  [Login required 20 seconds]
(Mar 29 2015 18:13:10,   17705 sec) RxConfig()           Downloading "mission.cfg" from host.
(Mar 29 2015 18:13:12,   17707 sec) Rx()                 Initiating transfer. [0x43]
(Mar 29 2015 18:13:15,   17710 sec) RxStartByte()        Sync errors encountered: 84
(Mar 29 2015 18:13:20,   17715 sec) Rx()                 Pad character [0x1a] found in ascii mode - truncating packet.
(Mar 29 2015 18:13:25,   17720 sec) Rx()                 Received EOT - transfer complete. [1 packets, 1024 bytes, 13 sec, 78.8 bps]
(Mar 29 2015 18:13:25,   17720 sec) RxConfig()           Download successful.
(Mar 29 2015 18:13:48,   17743 sec) WriteVitals()        Writing vitals to "9331.1503291808".
(Mar 29 2015 18:13:57,   17752 sec) UpLoadFile()         Uploading "9331.1503291746.log" to host as "9331.1503291746.log".
(Mar 29 2015 18:14:00,   17755 sec) Tx()                 CRC negotiation successful. [16-bit CRC]
(Mar 29 2015 18:14:07,   17763 sec) TxPacket()           NAK received - resending packet. [PktNum=0x01]
(Mar 29 2015 18:14:08,   17763 sec) TxPacket()           Packet xmit history: [01110001] (0:ok, 1:fail).
(Mar 29 2015 18:14:21,   17777 sec) TxPacket()           NAK received - resending packet. [PktNum=0x03]
(Mar 29 2015 18:14:22,   17777 sec) TxPacket()           Packet xmit history: [10001001] (0:ok, 1:fail).
(Mar 29 2015 18:15:11,   17826 sec) TxPacket()           NAK received - resending packet. [PktNum=0x09]
(Mar 29 2015 18:15:11,   17826 sec) TxPacket()           Packet xmit history: [10000001] (0:ok, 1:fail).
(Mar 29 2015 18:15:21,   17836 sec) Tx()                 Transmission completed successfully [9 packets, 8111 bytes, 80 sec, 104.0 bps]
(Mar 29 2015 18:15:21,   17836 sec) UpLoadFile()         Upload successful.
(Mar 29 2015 18:15:25,   17840 sec) UpLoadFile()         Uploading "9331.1503291808" to host as "9331.1503291808".
