(Dec 01 2022 01:46:18,  843942 sec) TelemetryInit()      Profile 264. (Apf9i FwRev: 012811)
(Dec 01 2022 01:53:51,  844396 sec) AirSystem()          Battery [143cnt, 11.1V]  Current [67cnt, 27.0mA]  Barometer [127cnt, 6.8"Hg]  Run-Time [64s]
(Dec 01 2022 01:54:20,  844424 sec) GpsServices()        GPS almanac is current.
(Dec 01 2022 01:54:20,  844424 sec) GpsServices()        Initiating GPS fix acquisition.
(Dec 01 2022 01:54:38,  844442 sec) gga()                $GPGGA,015400,0203.4132,N,04955.6944,E,0,00,,,M,,M,,*5A
(Dec 01 2022 01:54:49,  844453 sec) gga()                $GPGGA,015420,0203.4132,N,04955.6944,E,0,00,,,M,,M,,*58
(Dec 01 2022 01:54:59,  844463 sec) gga()                $GPGGA,015430,0203.4132,N,04955.6944,E,0,00,,,M,,M,,*59
(Dec 01 2022 01:55:27,  844492 sec) gga()                $GPGGA,015440,0137.5832,N,05025.6840,E,1,04,2.6,2.0,M,-52.5,M,,*6A
(Dec 01 2022 01:55:27,  844492 sec) GpsServices()        Profile 264 GPS fix obtained in 67 seconds.
(Dec 01 2022 01:55:27,  844492 sec) GpsServices()                  lon     lat mm/dd/yyyy hhmmss nsat
(Dec 01 2022 01:55:27,  844492 sec) GpsServices()        Fix:   50.428   1.626 12/01/2022 015440    4
(Dec 01 2022 01:55:57,  844522 sec) gga()                $GPGGA,015510,0137.5827,N,05025.6774,E,1,04,2.6,3.6,M,-52.5,M,,*65
(Dec 01 2022 01:56:03,  844527 sec) gga()                $GPGGA,015540,0137.5829,N,05025.6675,E,1,07,1.4,4.5,M,-52.5,M,,*68
(Dec 01 2022 01:56:03,  844528 sec) GpsServices()        APF9 RTC skew (23s) OK.
(Dec 01 2022 01:56:03,  844528 sec) LogNmeaSentences()   45,31,32,168,43,32,67,017,49,03,31,320,00*7B
(Dec 01 2022 01:56:04,  844528 sec) LogNmeaSentences()   $GPGSV,3,3,12,14,75,216,00,20,13,038,00,21,36,000,00,24,10,065,00*71
(Dec 01 2022 01:56:13,  844537 sec) LogNmeaSentences()   $GPRMC,015550,A,0137.5829,N,05025.6653,E,000.7,287.9,011222,001.6,W*61
(Dec 01 2022 01:56:13,  844538 sec) LogNmeaSentences()   $GPGGA,015550,0137.5829,N,05025.6653,E,1,07,1.4,5.1,M,-52.5,M,,*68
(Dec 01 2022 01:56:13,  844538 sec) LogNmeaSentences()   $GPGSA,A,3,10,22,23,26,27,31,32,,,,,,1.7,1.4,0.8*3B
(Dec 01 2022 01:56:14,  844538 sec) LogNmeaSentences()   $GPGSV,3,1,12,10,22,009,42,22,79,226,45,23,07,037,32,26,26,206,43*7F
(Dec 01 2022 01:56:14,  844539 sec) LogNmeaSentences()   $GPGSV,3,2,12,27,51,312,44,31,32,168,45,32,67,017,48,03,31,320,00*7D
(Dec 01 2022 01:56:14,  844539 sec) LogNmeaSentences()   $GPGSV,3,3,12,14,75,216,00,20,12,038,00,21,36,000,00,24,10,065,00*70
