wmo,source_url,source_http_status,source_sha256,raw_profile_juld,n_prof_index,last_profile_date_utc,expected_next_profile_utc,days_since_last_profile,approx_profiles_missed,data_status,inventory_prof_num,exact_inventory_gap_count,previous_rtraj_message_utc,previous_status,position_rule_unchanged,upstream_position_changed_since_baseline,aggregate_lagging_latest_file,latest_individual_profile,latest_individual_profile_date,calculated_at_utc,result
1902844,https://data-argo.ifremer.fr/dac/incois/1902844/1902844_prof.nc,200,429de6038752becf1c58c22e8287517fc872dbce1a2651637edf4277ce032ceb,28009.586238425927,23,2026-09-08T14:04:11+00:00,2026-09-18T14:04:11+00:00,12.733507254097223,1,PROFILE OVERDUE,26,1,2026-05-04T07:00:15+00:00,NO COMMUNICATION 60+ DAYS,True,True,True,R1902844_026.nc,2026-09-18T08:55:55+00:00,2026-09-21T07:40:26.026754+00:00,PASS
2901304,https://data-argo.ifremer.fr/dac/incois/2901304/2901304_prof.nc,200,0ad7c9473cc6065a895d53546b494db6f951f5490e105bab47e80e9cba437852,22514.024317129628,19,2011-08-23T00:35:01+00:00,2011-09-02T00:35:01+00:00,5508.295428550394,550,NO RECENT PROFILE DATA 60+ DAYS,20,0,2011-09-22T08:47:29+00:00,NO COMMUNICATION 60+ DAYS,True,False,False,D2901304_020.nc,2011-08-23T00:35:01+00:00,2026-09-21T07:40:26.026754+00:00,PASS
2901305,https://data-argo.ifremer.fr/dac/incois/2901305/2901305_prof.nc,200,3175befebc1a68a1bb7f3725dcf12f01ed8050383bc0e34c9f36bd2de4775ac1,22585.38341435185,26,2011-11-02T09:12:07+00:00,2011-11-12T09:12:07+00:00,5436.936331328172,543,NO RECENT PROFILE DATA 60+ DAYS,27,0,,NO DATA,True,False,False,D2901305_027.nc,2011-11-02T09:12:07+00:00,2026-09-21T07:40:26.026754+00:00,PASS
2901328,https://data-argo.ifremer.fr/dac/incois/2901328/2901328_prof.nc,200,c94397f1543843724970c3729757b2f4f8a80edad1cc02b7723007a6233c8e39,23011.34357638889,91,2013-01-01T08:14:45+00:00,2013-01-11T08:14:45+00:00,5010.976169291134,501,NO RECENT PROFILE DATA 60+ DAYS,98,6,,NO DATA,True,False,False,D2901328_098.nc,2013-01-01T08:14:45+00:00,2026-09-21T07:40:26.026754+00:00,PASS
2901339,https://data-argo.ifremer.fr/dac/incois/2901339/2901339_prof.nc,200,629ec824d99a08b5552c57b1d008452cfe3e296c8fd91b44adad0fb690b49075,25920.905868055557,328,2020-12-19T21:44:27+00:00,2020-12-29T21:44:27+00:00,2101.4138776244677,210,NO RECENT PROFILE DATA 60+ DAYS,329,0,2020-12-20T06:39:57+00:00,NO COMMUNICATION 60+ DAYS,True,False,False,D2901339_329.nc,2020-12-19T21:44:27+00:00,2026-09-21T07:40:26.026754+00:00,PASS
2901350,https://data-argo.ifremer.fr/dac/incois/2901350/2901350_prof.nc,200,ef8f29bb5c2c89bd197b4416eb33f3c14dfe62cc58f84417eaa74bbb38fb5d7b,25683.4459375,300,2020-04-26T10:42:09+00:00,2020-05-06T10:42:09+00:00,2338.873808180023,233,NO RECENT PROFILE DATA 60+ DAYS,301,0,2020-04-26T18:09:24+00:00,NO COMMUNICATION 60+ DAYS,True,False,False,D2901350_301.nc,2020-04-26T10:42:09+00:00,2026-09-21T07:40:26.026754+00:00,PASS
2902086,https://data-argo.ifremer.fr/dac/incois/2902086/2902086_prof.nc,200,d8494144cea321a71d494349a43afc38896b9db93ae0e590ef00d17463f21854,24152.16388888889,243,2016-02-16T03:56:00+00:00,2016-02-26T03:56:00+00:00,3870.1558567911343,387,NO RECENT PROFILE DATA 60+ DAYS,244,0,2016-02-16T04:34:35+00:00,NO COMMUNICATION 60+ DAYS,True,False,False,D2902086_244.nc,2016-02-16T03:56:00+00:00,2026-09-21T07:40:26.026754+00:00,PASS
2902087,https://data-argo.ifremer.fr/dac/incois/2902087/2902087_prof.nc,200,2eacce5de08b33840e0f022f07782bb4f76ec6b05fb673d94b70abb0e71c07ad,24327.155555555557,322,2016-08-09T03:44:00+00:00,2016-08-19T03:44:00+00:00,3695.164190124468,369,NO RECENT PROFILE DATA 60+ DAYS,323,0,2016-08-14T04:15:12+00:00,NO COMMUNICATION 60+ DAYS,True,False,False,D2902087_323.nc,2016-08-09T03:44:00+00:00,2026-09-21T07:40:26.026754+00:00,PASS
2902088,https://data-argo.ifremer.fr/dac/incois/2902088/2902088_prof.nc,200,fffedd91d9768db85f1ae3c7ded8feb922b1931034807ef416d070af07fb4564,25270.15902777778,227,2019-03-10T03:49:00+00:00,2019-03-20T03:49:00+00:00,2752.1607179022453,275,NO RECENT PROFILE DATA 60+ DAYS,228,0,2019-03-20T04:35:01+00:00,NO COMMUNICATION 60+ DAYS,True,False,False,D2902088_228.nc,2019-03-10T03:49:00+00:00,2026-09-21T07:40:26.026754+00:00,PASS
2902089,https://data-argo.ifremer.fr/dac/incois/2902089/2902089_prof.nc,200,f4dc1d6e35dcb0ac6b4644a12cf5a4e62243384507379c68b538ee36ecca429f,23308.41875,129,2013-10-25T10:03:00+00:00,2013-11-04T10:03:00+00:00,4713.900995680024,471,NO RECENT PROFILE DATA 60+ DAYS,130,0,2013-10-29T14:21:48+00:00,NO COMMUNICATION 60+ DAYS,True,False,False,D2902089_130.nc,2013-10-25T10:03:00+00:00,2026-09-21T07:40:26.026754+00:00,PASS
